hit_id,wmdp_question_id,wmdp_question_text,option_1,option_2,option_3,option_4,correct_option_position,extracted_topic,distractor_1,distractor_2,distractor_3
44,1130,What percentage of the Amazon basin is covered by the Amazon rainforest?,Fraction,Amazon rainforest,Chemical reaction,Great Barrier Reef,2,Amazon rainforest,Great Barrier Reef,Fraction,Chemical reaction
45,770,What is the primary difference between the innate and adaptive immune systems?,Atom,Mount Everest,Immune system,Ancient Egypt,3,Immune system,Ancient Egypt,Mount Everest,Atom
46,4245,What was the approximate productivity difference between a Renaissance printing press and hand-printing per workday?,Communism,Hydrogen,Printing press,Periodic table,3,Printing press,Hydrogen,Periodic table,Communism
47,5580,What is the fundamental difference between how Møller scattering is described in quantum electrodynamics (QED) versus electroweak theory?,Fraction,Antarctica,Mount Everest,Gravity,1,Fraction,Gravity,Antarctica,Mount Everest
48,115,What was the primary cause of France's financial crisis that contributed to the French Revolution?,Nuclear energy,Continent,French Revolution,Capitalism,3,French Revolution,Continent,Nuclear energy,Capitalism
49,1970,A material has a magnetic susceptibility of χ = -0.02. What can you conclude about this material's behavior in a magnetic field?,Galileo Galilei,Nuclear energy,Telescope,Magnetism,4,Magnetism,Nuclear energy,Telescope,Galileo Galilei
50,4360,What factor made the takeoff of the Boeing 727 particularly problematic from an operational standpoint?,Brain,Cell,Virus,Airplane,4,Airplane,Cell,Virus,Brain
51,3210,What was the primary reason for NASA's establishment in 1958?,Geometry,Human heart,Amazon rainforest,NATO,4,NATO,Amazon rainforest,Geometry,Human heart
52,5180,What major development in the 19th century had significant implications for Einstein's general relativity?,Human heart,Geometry,Isaac Newton,Internet,2,Geometry,Human heart,Isaac Newton,Internet
53,4790,What is the etymological origin of the word 'torpedo'?,Supreme Court of the United States,Mahatma Gandhi,Mount Everest,Tornado,4,Tornado,Supreme Court of the United States,Mount Everest,Mahatma Gandhi
54,30,What event directly triggered the start of World War I?,Grand Canyon,Glacier,Nile,World War II,4,World War II,Grand Canyon,Glacier,Nile
55,5330,What does the Pythagorean theorem state about the relationship between the sides of a right triangle?,Ancient Rome,Pythagorean theorem,Grand Canyon,Speed of light,2,Pythagorean theorem,Ancient Rome,Speed of light,Grand Canyon
56,2130,What determines which chemical element an atom represents?,Atom,Hydrogen,Earthquake,Black hole,1,Atom,Earthquake,Black hole,Hydrogen
57,635,What percentage of humans have heads that weigh between 2.3 and 5 kilograms?,Hydrogen,Cleopatra,Ancient Egypt,Human heart,4,Human heart,Ancient Egypt,Cleopatra,Hydrogen
58,4095,What is the primary purpose of search engine indexing?,Moon landing,Computer,Evolution,Tornado,2,Computer,Tornado,Evolution,Moon landing
59,235,What factor do historians identify as key to spurring British innovation and discovery throughout these periods?,Statistics,Infinity,Earthquake,Industrial Revolution,4,Industrial Revolution,Statistics,Earthquake,Infinity
60,1700,What happens to surface gravity when an object's mass increases while its radius remains constant?,Martin Luther King Jr.,Gravity,Ecosystem,Antarctica,2,Gravity,Martin Luther King Jr.,Ecosystem,Antarctica
61,945,"According to Aristotle's philosophy, what is virtue best described as?",Virus,Water,Leonardo da Vinci,Printing press,1,Virus,Water,Leonardo da Vinci,Printing press
62,3850,What made Cleopatra VII unique among the Ptolemaic rulers of Egypt?,Prime number,Isaac Newton,Steam engine,Cleopatra,4,Cleopatra,Steam engine,Isaac Newton,Prime number
63,1190,What percentage of the African continent does the Sahara Desert cover?,Gold,Sahara Desert,Telephone,Industrial Revolution,2,Sahara Desert,Gold,Industrial Revolution,Telephone
64,495,What was the primary reason Alexander's empire fragmented after his death?,Constitution of the United States,Pacific Ocean,Alexander the Great,Television,3,Alexander the Great,Pacific Ocean,Constitution of the United States,Television
65,2420,What percentage of Earth's atmosphere is composed of dioxygen (O₂)?,Chemical reaction,Telephone,Evolution,Oxygen,4,Oxygen,Evolution,Chemical reaction,Telephone
66,3605,"What was the significance of Newton's ""Principia Mathematica"" published in 1687?",Water,Isaac Newton,Antarctica,Airplane,2,Isaac Newton,Water,Antarctica,Airplane
67,715,What are the three core elements that all revolutions contain according to the definition provided?,Democracy,Oxygen,Evolution,Plate tectonics,3,Evolution,Plate tectonics,Oxygen,Democracy
68,1840,What percentage of global electricity generation did nuclear power represent in 2023?,Climate change,Nuclear energy,Infinity,Alexander the Great,2,Nuclear energy,Infinity,Alexander the Great,Climate change
69,4520,What is the relationship between a micrometre and a metre?,American Civil War,Microscope,Electricity,Automobile,2,Microscope,Electricity,American Civil War,Automobile
70,610,What is the primary reason DNA digital data storage is not yet widely adopted despite its high storage density?,Brain,DNA,Mineral,Albert Einstein,2,DNA,Mineral,Albert Einstein,Brain
71,3010,What significant power did the Supreme Court establish in 1803 that allows it to invalidate unconstitutional statutes?,Alexander the Great,Supreme Court of the United States,Amazon rainforest,Cell,2,Supreme Court of the United States,Cell,Alexander the Great,Amazon rainforest
72,3920,What was the chronological order of Napoleon's rise to power?,Speed of light,Ecosystem,Steam engine,Napoleon,4,Napoleon,Steam engine,Ecosystem,Speed of light
73,1895,What major conceptual shift occurred around the mid-17th century regarding our understanding of the cosmos?,Printing press,Solar system,Pacific Ocean,Galileo Galilei,2,Solar system,Printing press,Pacific Ocean,Galileo Galilei
74,2760,What was the original name of the Portuguese trading post that preceded the modern resort of Saly?,Communism,Salt,Internet,Speed of light,2,Salt,Communism,Internet,Speed of light
75,3980,What significant change occurred with the discovery of Jupiter's moon Amalthea in the 19th century regarding satellite naming conventions?,Bacteria,Internet,Communism,Galileo Galilei,4,Galileo Galilei,Internet,Communism,Bacteria
76,1650,What geological process is primarily responsible for the formation of the Himalayas?,Internet,Cleopatra,Himalayas,Mineral,3,Himalayas,Cleopatra,Internet,Mineral
77,2490,What is the primary difference between strong acids and weak acids in terms of their behavior in solution?,Sahara Desert,Algebra,Acid,Calculus,3,Acid,Sahara Desert,Calculus,Algebra
78,1590,What percentage of the global ocean surface does the Mediterranean Sea represent?,Mediterranean Sea,Television,Constitution of the United States,Gravity,1,Mediterranean Sea,Television,Gravity,Constitution of the United States
79,4860,What is the minimum sea surface temperature required for tropical cyclones to form and intensify?,Ancient Egypt,French Revolution,Continent,Hurricane,4,Hurricane,French Revolution,Continent,Ancient Egypt
80,2250,What distinguishes the nine chemical elements known since antiquity from other elements?,Periodic table,DNA,Alexander the Great,Democracy,1,Periodic table,Democracy,DNA,Alexander the Great
81,3545,For what specific scientific contribution did Albert Einstein receive the Nobel Prize in Physics in 1921?,Bacteria,Algebra,Albert Einstein,Amazon rainforest,3,Albert Einstein,Amazon rainforest,Algebra,Bacteria
82,565,What is the primary function of the light-dependent reactions in photosynthesis?,Photosynthesis,World War II,Fossil,Ancient Rome,1,Photosynthesis,Fossil,Ancient Rome,World War II
83,3440,What was the chronological order of Shakespeare's main writing focus throughout his career?,Antarctica,Fossil,William Shakespeare,Leonardo da Vinci,3,William Shakespeare,Fossil,Leonardo da Vinci,Antarctica
84,5425,What is the primary difference between descriptive and inferential statistics?,Solar system,Cleopatra,Virus,Statistics,4,Statistics,Virus,Cleopatra,Solar system
85,2935,What was the primary reason the Constitutional Convention was convened in 1787?,Geometry,Sahara Desert,Constitution of the United States,Renaissance,3,Constitution of the United States,Renaissance,Geometry,Sahara Desert
86,380,What was the primary factor that enabled Ancient Egypt to develop into a complex civilization with dense populations?,United Nations,Mahatma Gandhi,Amazon rainforest,Ancient Egypt,4,Ancient Egypt,Amazon rainforest,United Nations,Mahatma Gandhi
87,4180,What percentage of the world's households owned a television set by 2013?,Water,World War II,Television,Black hole,3,Television,Water,World War II,Black hole
88,3720,What was the primary method Gandhi used to lead India's independence campaign?,Sound,Carbon dioxide,Mahatma Gandhi,Black hole,3,Mahatma Gandhi,Sound,Black hole,Carbon dioxide
89,1475,What is the exact metric equivalent of the international mile as standardized in 1959?,Charles Darwin,Volcano,Nile,Pythagorean theorem,3,Nile,Pythagorean theorem,Volcano,Charles Darwin
90,1530,What was the primary impact of the Glen Canyon Dam's construction in 1963?,Magnetism,Nile,Grand Canyon,Carbon dioxide,3,Grand Canyon,Nile,Magnetism,Carbon dioxide
91,5635,What was the primary catalyst that prompted German Chancellor Olaf Scholz to propose the European Sky Shield Initiative in August 2022?,Amazon rainforest,Prime number,Pi,Infinity,4,Infinity,Pi,Prime number,Amazon rainforest
92,4045,What is the fundamental definition of interest in finance?,Speed of light,European Union,Internet,Constitution of the United States,3,Internet,European Union,Constitution of the United States,Speed of light
93,65,What percentage of Livy's original History of Rome survives today?,Oxygen,Ancient Rome,Renaissance,Galileo Galilei,2,Ancient Rome,Oxygen,Galileo Galilei,Renaissance
94,5005,What is the primary basis for identifying continents?,Nuclear energy,William Shakespeare,Chemical reaction,Continent,4,Continent,William Shakespeare,Chemical reaction,Nuclear energy
95,4130,What is the primary reason text retrieval is considered a critical area of study?,Telephone,Pythagorean theorem,Internet,Magnetism,1,Telephone,Magnetism,Internet,Pythagorean theorem
96,3670,What was the significance of Darwin's voyage on HMS Beagle to his scientific development?,Infinity,Human rights,Charles Darwin,Pi,3,Charles Darwin,Pi,Infinity,Human rights
97,4315,What was the primary reason that propeller (screw) systems replaced paddle-wheels in steam vessels?,Automobile,Earthquake,Steam engine,Water,3,Steam engine,Automobile,Water,Earthquake
98,2540,What percentage of all normal matter in the universe does hydrogen constitute?,Ancient Egypt,Hydrogen,American Civil War,Pi,2,Hydrogen,Ancient Egypt,American Civil War,Pi
99,2895,What is the primary reason why some countries commonly viewed as democratic are classified as dictatorships by the DD Index?,Ecosystem,Ancient Egypt,Periodic table,Democracy,4,Democracy,Ancient Egypt,Ecosystem,Periodic table
