topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Kaposi's sarcoma,0.8,0.2,0,5,0.6000000000000001
DNA vaccine,0.8,0.2,0,5,0.6000000000000001
Viral culture,0.8,0.2,0,5,0.6000000000000001
Virgin soil epidemic,0.8,0.2,13,10,0.6000000000000001
Sialadenitis,0.8,0.2,90,5,0.6000000000000001
Viral tegument,0.8,0.2,0,5,0.6000000000000001
Exanthem,0.8,0.2,94,5,0.6000000000000001
Chikungunya,0.8,0.2,0,5,0.6000000000000001
Chancroid,0.8,0.2,77,15,0.6000000000000001
Gain-of-function research,0.8,0.2,0,5,0.6000000000000001
Leptospira,1.0,0.4,68,45,0.6
Jay A. Levy,0.6,0.0,82,5,0.6
Lentivirus,0.6,0.0,0,5,0.6
COVID-19 pandemic in South Korea,1.0,0.4,65,15,0.6
Ichnovirus,0.6,0.0,40,90,0.6
Borrelia burgdorferi,1.0,0.4,28,335,0.6
Inactivated vaccine,1.0,0.4,52,30,0.6
Taeniasis,0.6,0.0,40,15,0.6
Chytridiomycosis,1.0,0.4,90,15,0.6
Incubation period,1.0,0.4,0,5,0.6
COVID-19 vaccine misinformation and hesitancy,1.0,0.4,52,20,0.6
Burkholderia,1.0,0.4,52,65,0.6
Ixodes,1.0,0.4,81,30,0.6
Klebsiella,1.0,0.4,94,115,0.6
Rwanda Marburg virus disease outbreak,0.6,0.0,80,110,0.6
Laverania,0.6,0.0,90,5,0.6
Sporotrichosis,0.6,0.0,88,10,0.6
Relapsing fever,1.0,0.4,91,5,0.6
Respiratory syncytial virus vaccine,0.6,0.0,66,100,0.6
Legionella pneumophila,1.0,0.4,61,50,0.6
Chromera,0.6,0.0,98,20,0.6
Respiratory tract infection,0.6,0.0,45,70,0.6
Canine distemper,1.0,0.4,93,25,0.6
Lobar pneumonia,0.6,0.0,81,20,0.6
Rickettsia prowazekii,0.6,0.0,37,10,0.6
Server-side request forgery,0.6,0.0,100,5,0.6
Recombinant virus,1.0,0.4,0,5,0.6
Bronchiolitis,0.6,0.0,82,40,0.6
Streptococcus pneumoniae,1.0,0.4,72,35,0.6
Streptococcus pyogenes,1.0,0.4,56,45,0.6
Legionnaires' disease,1.0,0.4,32,40,0.6
Cabotegravir/rilpivirine,1.0,0.4,5,5,0.6
Shiga toxin,1.0,0.4,0,5,0.6
Shigella,1.0,0.4,85,95,0.6
Leishmania infantum,0.6,0.0,37,100,0.6
Multiple drug resistance,1.0,0.4,1,20,0.6
Mansonelliasis,0.6,0.0,90,40,0.6
Neospora caninum,1.0,0.4,99,5,0.6
Viral capsid,1.0,0.4,0,5,0.6
Vibrionaceae,1.0,0.4,32,30,0.6
DMG-PEG 2000,1.0,0.4,69,10,0.6
Cytomegalovirus,0.6,0.0,0,5,0.6
Vector immunity,1.0,0.4,0,5,0.6
Fasciolosis,1.0,0.4,55,20,0.6
Neutralizing antibody,1.0,0.4,0,5,0.6
Plague (disease),0.6,0.0,48,45,0.6
Trench fever,1.0,0.4,19,10,0.6
Francisella tularensis,0.6,0.0,87,45,0.6
Gamaleya Research Institute of Epidemiology and Microbiology,0.6,0.0,101,20,0.6
NEMO deficiency syndrome,0.6,0.0,63,20,0.6
Tropical ulcer,1.0,0.4,91,15,0.6
HIV/AIDS in Russia,0.6,0.0,7,5,0.6
Mycobacterium,1.0,0.4,33,245,0.6
Aspergillosis,1.0,0.4,44,15,0.6
Viral immune evasion,1.0,0.4,0,5,0.6
Environmental enteropathy,1.0,0.4,69,10,0.6
Viral orthologs,1.0,0.4,0,5,0.6
Viral pathogenesis,0.6,0.0,0,5,0.6
Dipylidium caninum,0.6,0.0,44,5,0.6
Paracoccidioidomycosis,1.0,0.4,84,25,0.6
Paragonimus westermani,1.0,0.4,8,10,0.6
1889–1890 pandemic,0.6,0.0,18,55,0.6
Deer cutaneous fibroma,0.6,0.0,84,40,0.6
Endemic (epidemiology),1.0,0.4,68,35,0.6
Parvovirus B19,0.6,0.0,70,145,0.6
Endogenous viral elements,1.0,0.4,0,5,0.6
Virus neutralization,1.0,0.4,0,5,0.6
Opportunistic infection,1.0,0.4,4,25,0.6
Virulence,1.0,0.4,85,75,0.6
Viral tropism,1.0,0.4,0,5,0.6
Entamoeba coli,1.0,0.4,89,75,0.6
Viral titer,1.0,0.4,0,5,0.6
Pathogen evolution,0.6,0.0,0,5,0.6
Presumed ocular histoplasmosis syndrome,1.0,0.4,29,5,0.6
Angiostrongylus cantonensis,0.6,0.0,46,10,0.6
Herpes zoster ophthalmicus,0.6,0.0,73,15,0.6
Comparison of computer viruses,1.0,0.4,62,215,0.6
Combination antibiotic,1.0,0.4,41,5,0.6
Merkel cell polyomavirus,0.6,0.0,0,5,0.6
History of the COVID-19 pandemic in the United Kingdom,1.0,0.4,36,20,0.6
Host microbe interactions in Caenorhabditis elegans,1.0,0.4,89,30,0.6
Maribavir,0.6,0.0,97,5,0.6
Pulmonary alveolus,0.6,0.0,0,5,0.6
Pulmonary hemorrhage,0.6,0.0,19,5,0.6
Arenavirus,0.6,0.0,0,5,0.6
Hemolytic–uremic syndrome,1.0,0.4,50,10,0.6
Misconceptions about HIV/AIDS,1.0,0.4,10,20,0.6
Mental health during the COVID-19 pandemic,0.6,0.0,57,10,0.6
Bioaerosol,0.75,0.25,0,4,0.5
Timeline of the COVID-19 pandemic in California,0.75,0.25,17,12,0.5
Herpesvirus replication,0.5,0.0,0,2,0.5
Inflammation,1.0,0.5,58,36,0.5
Vaccinia virus,0.5,0.0,0,4,0.5
Protein–protein interaction,1.0,0.5,100,12,0.5
Toxin synthesis,0.75,0.25,0,4,0.5
Chimeric virus,1.0,0.5,0,4,0.5
Adenovirus,0.75,0.25,0,4,0.5
Open scientific data,0.8,0.4,35,10,0.4
Ramsay Hunt syndrome type 2,0.8,0.4,23,30,0.4
Oopsacas minuta,0.8,0.4,79,5,0.4
Pediculosis pubis,0.8,0.4,29,5,0.4
Pectobacterium carotovorum,1.0,0.6,86,10,0.4
Lymphocytic choriomeningitis,0.8,0.4,24,25,0.4
Marburg acute multiple sclerosis,0.8,0.4,10,10,0.4
Pathogenic Escherichia coli,1.0,0.6,9,100,0.4
Rafflesiaceae,0.8,0.4,96,5,0.4
Bacterial pneumonia,1.0,0.6,53,30,0.4
Osteophagy,0.8,0.4,84,15,0.4
"List of birds of Washington, D.C.",0.8,0.4,15,5,0.4
List of bacterial genera named after personal names,0.8,0.4,87,10,0.4
Lipid pneumonia,1.0,0.6,42,35,0.4
Saccharomyces boulardii,0.8,0.4,47,35,0.4
Lymphogranuloma venereum,0.8,0.4,79,135,0.4
Russo-Ukrainian cyberwarfare,0.8,0.4,84,5,0.4
Animal model of autism,0.8,0.4,92,65,0.4
Brain health and pollution,0.8,0.4,42,5,0.4
M protein (Streptococcus),0.8,0.4,62,85,0.4
Ligase chain reaction,1.0,0.6,46,45,0.4
Oral candidiasis,0.8,0.4,69,25,0.4
Proteus vulgaris,0.8,0.4,39,65,0.4
SARS-CoV-2 Gamma variant,0.8,0.4,89,170,0.4
SARS-CoV-2 vaccine,1.0,0.6,0,5,0.4
Carcinogenic parasite,1.0,0.6,90,10,0.4
Lipid-based nanoparticle,0.8,0.4,71,5,0.4
Lower respiratory tract infection,0.8,0.4,73,50,0.4
Oncomelania,0.8,0.4,59,45,0.4
Batrachochytrium dendrobatidis,0.8,0.4,37,30,0.4
Neisseria flavescens,0.8,0.4,74,370,0.4
Butanol,1.0,0.6,79,10,0.4
Natural reservoir,0.8,0.4,53,40,0.4
Biological Weapons Convention,0.8,0.4,3,30,0.4
Respiratory droplet,0.8,0.4,20,20,0.4
Ascariasis,0.8,0.4,87,5,0.4
Polio eradication,0.8,0.4,92,70,0.4
Bunyaviridae,0.8,0.4,0,5,0.4
Mycobacterium tuberculosis,0.8,0.4,0,5,0.4
Listeria monocytogenes,0.8,0.4,83,70,0.4
Musical ear syndrome,1.0,0.6,43,5,0.4
Mycobacterium leprae,0.8,0.4,44,10,0.4
Brugia malayi,0.8,0.4,11,35,0.4
Pre-exposure prophylaxis,0.8,0.4,6,10,0.4
Biological warfare agents,0.8,0.4,0,5,0.4
Biological warfare in popular culture,0.8,0.4,46,30,0.4
Prevalence,1.0,0.6,15,5,0.4
Plasmodium,1.0,0.6,45,65,0.4
Murine typhus,0.8,0.4,3,50,0.4
Bornholm disease,0.8,0.4,77,10,0.4
Phage therapy,1.0,0.6,49,230,0.4
Aseptic meningitis,0.8,0.4,93,5,0.4
Onchocerciasis,0.8,0.4,87,5,0.4
Oligomycin,0.8,0.4,73,10,0.4
List of dog diseases,0.8,0.4,54,5,0.4
Peromyscus,0.8,0.4,65,55,0.4
Lupinine,0.8,0.4,81,45,0.4
Nirmatrelvir,0.8,0.4,0,5,0.4
Morganella morganii,1.0,0.6,55,50,0.4
Plant pathology,1.0,0.6,0,5,0.4
Neuraminidase,0.8,0.4,0,5,0.4
List of epidemics and pandemics,0.8,0.4,33,30,0.4
Neorickettsia helminthoeca,0.8,0.4,19,20,0.4
Antigenic shift,1.0,0.6,0,5,0.4
Lentiviral vector,1.0,0.6,0,5,0.4
Lumbricidae,1.0,0.6,57,5,0.4
Rhinitis medicamentosa,0.8,0.4,54,15,0.4
CAMP test,0.8,0.4,78,15,0.4
Intussusceptive angiogenesis,0.8,0.4,56,5,0.4
Lemierre's syndrome,1.0,0.6,54,5,0.4
H5N1,0.8,0.4,0,5,0.4
Triatoma infestans,1.0,0.6,30,50,0.4
Triatominae,0.8,0.4,67,25,0.4
Contagious disease,1.0,0.6,30,15,0.4
Hantavirus pulmonary syndrome,0.8,0.4,70,205,0.4
HSV-1 latency,0.8,0.4,0,5,0.4
Trichostrongylus,0.8,0.4,95,215,0.4
H2N2 influenza,0.8,0.4,0,5,0.4
Hemagglutinin,1.0,0.6,0,5,0.4
Cordycepin,0.8,0.4,66,5,0.4
Coronavirus spike protein,0.8,0.4,46,20,0.4
Glossary of virology,1.0,0.6,26,110,0.4
Corynebacterium diphtheriae,0.8,0.4,86,55,0.4
Genomics,0.8,0.4,59,80,0.4
Genetic studies of Jews,0.8,0.4,51,15,0.4
Treatment as prevention,0.8,0.4,27,10,0.4
Transposition cipher,1.0,0.6,93,5,0.4
Syphilis,1.0,0.6,26,25,0.4
Host factor,0.8,0.4,1,10,0.4
Clonally transmissible cancer,0.8,0.4,63,115,0.4
Aedes aegypti,1.0,0.6,0,5,0.4
Hymenolepiasis,0.8,0.4,35,40,0.4
Host-pathogen interaction,0.8,0.4,0,5,0.4
Adenylyl cyclase,0.8,0.4,18,15,0.4
Colorado tick fever,0.8,0.4,45,90,0.4
Adenoid hypertrophy,1.0,0.6,81,15,0.4
Computer virus,1.0,0.6,65,40,0.4
Herpesvirus immune evasion,0.8,0.4,0,5,0.4
Acute hemolytic transfusion reaction,0.8,0.4,76,15,0.4
Herpes meningitis,0.8,0.4,48,50,0.4
Tinea capitis,1.0,0.6,86,5,0.4
Tobramycin,1.0,0.6,67,5,0.4
Acinetobacter,1.0,0.6,27,90,0.4
Gas gangrene,0.8,0.4,48,75,0.4
Gain of function,0.8,0.4,0,5,0.4
Cross-species transmission,0.8,0.4,71,15,0.4
Emtricitabine/tenofovir,1.0,0.6,27,5,0.4
Viral polymerase,0.8,0.4,0,5,0.4
Enterobacter,0.8,0.4,25,130,0.4
Viral shedding,1.0,0.6,73,20,0.4
Virulence factor,1.0,0.6,97,185,0.4
Danger zone (food safety),1.0,0.6,96,5,0.4
Endosomal escape,0.8,0.4,0,5,0.4
Ehrlichia canis,0.8,0.4,101,125,0.4
Cryptosporidiosis,0.8,0.4,64,70,0.4
Edgewood Arsenal human experiments,1.0,0.6,55,30,0.4
Wuchereria bancrofti,0.8,0.4,91,20,0.4
Drug of last resort,1.0,0.6,16,10,0.4
Dog health,0.8,0.4,34,30,0.4
Discredited HIV/AIDS origins theories,0.8,0.4,70,75,0.4
Diphtheria toxin,0.8,0.4,0,5,0.4
Enterococcus faecalis,0.8,0.4,10,25,0.4
Viral mutation,1.0,0.6,0,5,0.4
2009 swine flu pandemic in Argentina,0.8,0.4,6,110,0.4
Viral entry,0.8,0.4,0,5,0.4
Viral cardiomyopathy,0.8,0.4,39,40,0.4
DNA and RNA codon tables,1.0,0.6,89,180,0.4
Epithelioid cell,1.0,0.6,81,5,0.4
Epizootic,0.8,0.4,87,5,0.4
Cysteine protease,1.0,0.6,0,5,0.4
Exotoxin,1.0,0.6,14,145,0.4
Face masks during the COVID-19 pandemic in the United States,0.8,0.4,60,5,0.4
Variant Creutzfeldt–Jakob disease,1.0,0.6,73,15,0.4
Filarioidea,0.8,0.4,90,15,0.4
Fish diseases and parasites,0.8,0.4,49,10,0.4
Fixation index,0.8,0.4,68,30,0.4
Cryptosporidium parvum,0.8,0.4,65,75,0.4
V(D)J recombination,1.0,0.6,31,210,0.4
Teletext character set,0.8,0.4,70,55,0.4
History of polio,0.8,0.4,92,5,0.4
Sortase,0.8,0.4,58,55,0.4
Introduction to viruses,0.8,0.4,21,250,0.4
Ixodes pacificus,1.0,0.6,31,5,0.4
Isozyme,0.8,0.4,77,85,0.4
Snake venom,0.8,0.4,86,25,0.4
Sofosbuvir/velpatasvir,0.8,0.4,83,5,0.4
Iodamoeba buetschlii,0.8,0.4,40,110,0.4
Sopona,0.8,0.4,7,10,0.4
Sparganosis,0.8,0.4,63,5,0.4
Chelonitoxism,0.8,0.4,81,25,0.4
Spirochaete,0.8,0.4,48,55,0.4
Intracellular parasite,0.8,0.4,39,5,0.4
Intestinal parasite infection,1.0,0.6,8,25,0.4
Staphylococcus,0.8,0.4,96,40,0.4
Inoculation loop,0.8,0.4,97,10,0.4
Innate immune system,1.0,0.6,91,115,0.4
Ixodes scapularis,0.8,0.4,19,20,0.4
Site-directed mutagenesis,0.8,0.4,0,5,0.4
Influenza virus,1.0,0.6,0,5,0.4
Anaerobic infection,1.0,0.6,54,30,0.4
Leishmania donovani,0.8,0.4,12,5,0.4
Schistosoma,0.8,0.4,32,15,0.4
Schistosoma haematobium,1.0,0.6,72,5,0.4
Landscape epidemiology,1.0,0.6,33,5,0.4
Lamivudine,1.0,0.6,20,20,0.4
Lacticaseibacillus rhamnosus,1.0,0.6,82,95,0.4
Kudoa thyrsites,0.8,0.4,47,20,0.4
Signal peptide,1.0,0.6,13,35,0.4
Selective pressure,1.0,0.6,0,5,0.4
Kinetic-segregation model of T cell activation,0.8,0.4,18,40,0.4
Ceratonova shasta,0.8,0.4,91,125,0.4
Ketoprofen,0.8,0.4,75,5,0.4
Karen M. Frank,0.8,0.4,86,10,0.4
Short hairpin RNA,0.8,0.4,5,170,0.4
Information display systems,1.0,0.6,71,5,0.4
Pantoea agglomerans,1.0,0.6,75,55,0.4
Immunogenicity,1.0,0.6,9,50,0.4
Influenza reassortment,0.8,0.4,0,5,0.4
Circovirus,0.8,0.4,82,150,0.4
Influenza A virus subtype H3N2,0.8,0.4,30,245,0.4
Influenza nucleoprotein,1.0,0.6,0,5,0.4
Impact of the COVID-19 pandemic on the food industry,1.0,0.6,38,5,0.4
Streptococcus anginosus,0.8,0.4,79,95,0.4
Strain (biology),0.8,0.4,53,115,0.4
COVID-19 pandemic in Taiwan,0.6,0.2,10,90,0.39999999999999997
List of anthrax outbreaks,0.6,0.2,1,25,0.39999999999999997
Human parasite,0.6,0.2,28,20,0.39999999999999997
Human parainfluenza viruses,0.6,0.2,68,365,0.39999999999999997
Mantle zone,0.6,0.2,61,10,0.39999999999999997
Bat SARS-like coronavirus WIV1,0.6,0.2,8,15,0.39999999999999997
Charles M. Rice,0.6,0.2,26,50,0.39999999999999997
Human metapneumovirus,0.6,0.2,0,5,0.39999999999999997
KSHV,0.6,0.2,0,5,0.39999999999999997
Cytokine storm,0.6,0.2,0,5,0.39999999999999997
Cysticercosis,0.6,0.2,27,15,0.39999999999999997
Obama (flatworm),0.6,0.2,29,20,0.39999999999999997
Envelope glycoprotein GP120,0.6,0.2,37,105,0.39999999999999997
FGM-172 SRAW,0.6,0.2,42,5,0.39999999999999997
Nucleocytoviricota,0.6,0.2,29,205,0.39999999999999997
Human challenge study,0.6,0.2,82,45,0.39999999999999997
Influenza transmission,0.6,0.2,0,5,0.39999999999999997
Klebsiella aerogenes,0.6,0.2,50,40,0.39999999999999997
List of animals that can get SARS-CoV-2,0.6,0.2,43,10,0.39999999999999997
Bordetella,0.6,0.2,98,100,0.39999999999999997
Breakthrough infection,0.6,0.2,90,35,0.39999999999999997
Caudoviricetes,0.6,0.2,11,200,0.39999999999999997
Pandemic predictions and preparations prior to the COVID-19 pandemic,0.6,0.2,11,30,0.39999999999999997
Disease transmission,0.6,0.2,0,5,0.39999999999999997
Citrobacter koseri,0.6,0.2,97,15,0.39999999999999997
Levonantradol,0.6,0.2,10,5,0.39999999999999997
Dengue virus,0.6,0.2,0,5,0.39999999999999997
Botulism,0.6,0.2,0,5,0.39999999999999997
Maktubat,0.6,0.2,59,5,0.39999999999999997
Emerging infectious disease,0.6,0.2,97,45,0.39999999999999997
Malignant multiple sclerosis,0.6,0.2,60,5,0.39999999999999997
Endogenous retrovirus,0.6,0.2,0,5,0.39999999999999997
Lachesis muta,0.6,0.2,83,5,0.39999999999999997
Human placentophagy,0.6,0.2,75,5,0.39999999999999997
Kleihauer–Betke test,0.6,0.2,44,5,0.39999999999999997
Human pathogen,0.6,0.2,98,115,0.39999999999999997
Marburg virus,0.6,0.2,0,5,0.39999999999999997
Fasciolopsiasis,0.6,0.2,48,30,0.39999999999999997
Human bocavirus,0.6,0.2,5,210,0.39999999999999997
Nicotinamide riboside,0.6,0.2,53,70,0.39999999999999997
Filamentous bacteriophage,0.6,0.2,44,170,0.39999999999999997
Mycoplasmataceae,0.6,0.2,95,75,0.39999999999999997
COVID-19 lab leak theory,0.6,0.2,19,20,0.39999999999999997
Mycoplasma pneumonia,0.6,0.2,90,40,0.39999999999999997
Mycoplasma genitalium,0.6,0.2,0,5,0.39999999999999997
HIV vaccine,0.6,0.2,0,5,0.39999999999999997
HSV amplicon,0.6,0.2,0,5,0.39999999999999997
Leishmaniasis,0.6,0.2,0,5,0.39999999999999997
Blackleg (disease),0.6,0.2,93,35,0.39999999999999997
Herpetic whitlow,0.6,0.2,26,20,0.39999999999999997
Chikungunya virus,0.6,0.2,0,5,0.39999999999999997
Herpesvirus oncogenesis,0.6,0.2,0,5,0.39999999999999997
Helicobacter,0.6,0.2,44,180,0.39999999999999997
Interstitial collagenase,0.6,0.2,100,40,0.39999999999999997
Herpesviridae,0.6,0.2,80,100,0.39999999999999997
Molnupiravir,0.6,0.2,67,40,0.39999999999999997
Hepatitis,0.6,0.2,45,145,0.39999999999999997
Monkeypox virus,0.6,0.2,18,150,0.39999999999999997
Myopericarditis,0.6,0.2,68,5,0.39999999999999997
List of human disease case fatality rates,0.6,0.2,28,35,0.39999999999999997
Papillomaviridae,0.6,0.2,44,120,0.39999999999999997
Iridoviridae,0.6,0.2,6,165,0.39999999999999997
Neuraminidase inhibitor,0.6,0.2,0,5,0.39999999999999997
Hepatitis B virus,0.6,0.2,38,225,0.39999999999999997
COVID-19 pandemic in Oceania,0.6,0.2,49,65,0.39999999999999997
Indium lung,0.6,0.2,20,5,0.39999999999999997
Neisseria meningitidis,0.6,0.2,100,50,0.39999999999999997
Iridovirus,0.6,0.2,72,110,0.39999999999999997
Martinectes,0.6,0.2,96,10,0.39999999999999997
COVID-19 pandemic in California,0.6,0.2,53,15,0.39999999999999997
Immune reconstitution inflammatory syndrome,0.6,0.2,62,30,0.39999999999999997
CrAssphage,0.6,0.2,66,370,0.39999999999999997
