hit_id,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,condition,facts_json,semantic_distance,distance_bucket
10,3540,What is the primary theological concept being debated by the figures in the lower portion of Raphael's fresco?,The Trinity,Transubstantiation,Papal infallibility,Divine revelation,B,with_facts,"""\u2022 The Disputation of the Holy Sacrament (La disputa del sacramento) is a fresco painted by Raphael between 1509 and 1510 in the Vatican's Apostolic Palace.\n\n\u2022 It was the first part of Raphael's commission to decorate the rooms now known as the Stanze di Raffaello, specifically in what was then called the Stanza della Segnatura.\n\n\u2022 The room served as the private papal library where the supreme papal tribunal met during the time of its creation.\n\n\u2022 The painting depicts a two-tiered composition spanning heaven and earth, with Christ surrounded by biblical figures in the upper portion and theologians debating Transubstantiation around an altar below.\n\n\u2022 The heavenly scene features Christ flanked by the Virgin Mary and John the Baptist (called De\u00ebsis), with God the Father above and the Holy Spirit as a dove below Christ.\n\n\u2022 The earthly scene shows historical theologians and church figures, including the four original Doctors of the Church (Gregory I, Jerome, Augustine, and Ambrose) with their names inscribed in their halos.\n\n\u2022 Notable figures depicted include Pope Julius II, Dante Alighieri (wearing a laurel wreath), Thomas Aquinas, and even Raphael's mentor Bramante as the bald figure reading in the corner.\n\n\u2022 The altar's monstrance is central to the lower composition, with its fringe reading \""Julius II Pont. Max.\"" (referring to Pope Julius II as Pontifex Maximus).\n\n\u2022 A church under construction appears in the background, symbolically representing the Catholic Church itself.""",500,351-600
11,3768,Who was Mohammed Afzal-ul Amin's grandfather?,Ubaidullah Al Ubaidi Suhrawardy,Amin Suhrawardy,A prominent freedom fighter,A former Chief Minister,B,without_facts,,100,51-100
12,242,What unusual weather-related incident affected Israeli military aircraft at Hatzor Airbase?,Lightning strikes destroyed multiple aircraft,High winds caused aircraft to crash during landing,Flooding damaged eight F-16 aircraft on the ground,Ice storms prevented aircraft from taking off,C,with_facts,"""\u2022 This list documents military aircraft accidents and incidents from 2020 onwards, excluding combat losses except in special circumstances, and includes aircraft that were not necessarily operational at the time of the incident.\n\n\u2022 High-ranking military officials were among the casualties, including Shen Yi-ming, Chief of General Staff of the Republic of China Air Force, who died in a UH-60M Black Hawk crash in Taiwan on January 2, 2020.\n\n\u2022 Multiple countries experienced significant military aviation accidents during early 2020, including Sudan, Taiwan, Sri Lanka, Afghanistan, South Africa, and Egypt within the first two weeks of January alone.\n\n\u2022 Helicopter crashes were particularly common, involving various models including UH-60 Black Hawks, Mi-17s, Mi-35s, Bell UH-1 Iroquois, and others across different air forces worldwide.\n\n\u2022 Fighter aircraft accidents occurred frequently, involving F-16 Fighting Falcons (Israeli, Egyptian, and Pakistani air forces), Su-30s, Su-25s, Su-27s, and MiG-29Ks from various nations' air forces.\n\n\u2022 Some accidents involved complete loss of life, such as the Sudanese An-12A crash that killed all 18 aboard and multiple helicopter crashes with no survivors, while others had successful rescues or pilot ejections.\n\n\u2022 The accidents spanned multiple continents and involved air forces from countries including the United States, Russia, China, India, Pakistan, various African nations, and Latin American countries.\n\n\u2022 Weather-related incidents occurred, such as flooding that damaged eight Israeli F-16s at Hatzor Airbase, showing that ground-based weather events also pose risks to military aircraft.""",500,351-600
13,4109,What was the primary difference between IBM PC DOS and MS-DOS regarding BASIC programming?,IBM versions used ROM-BASIC code while MS-DOS did not,MS-DOS included more advanced BASIC features,IBM versions required external BASIC interpreters,MS-DOS removed BASIC support earlier than IBM,A,without_facts,,100,51-100
14,1847,Which railway system is considered the first successful operational implementation of AC electrification that influenced the modern 25 kV standard?,The 25 kV system adopted by France in the 1950s,Kálmán Kandó's 16 kV system in Hungary from 1931,The Deutsche Reichsbahn's 20 kV system from 1936,The experimental systems in Germany's Black Forest before WWII,B,with_facts,"""\u2022 **25 kV AC electrification uses standard utility frequency (50 or 60 Hz), which simplifies traction substations and is ideal for long-distance railways and heavy traffic.**\n\n\u2022 **The system came into widespread use in the 1950s after earlier experimentation in Hungary and Germany's Black Forest before World War II.**\n\n\u2022 **Early adoption was limited by the lack of reliable, lightweight rectification equipment and the need for increased clearance under bridges and tunnels for high-voltage components.**\n\n\u2022 **The first successful operational system was developed by K\u00e1lm\u00e1n Kand\u00f3 in Hungary in 1931, using 16 kV AC at 50 Hz on the Budapest\u2013Dunakeszi\u2013Alag line.**\n\n\u2022 **The Deutsche Reichsbahn completed the first railway using this system type in 1936 with a 20 kV 50 Hz AC system on part of the H\u00f6llentalbahn, which influenced France's adoption of 25 kV as their standard.**\n\n\u2022 **Mercury arc rectifiers' unreliability was the main barrier to earlier adoption, as DC series motors required AC-to-DC conversion but rectifiers were unsuitable for locomotive use until the 1950s.**\n\n\u2022 **Modern high-speed trains like the N700 Shinkansen use complex conversion systems, transforming 25 kV single-phase AC through multiple stages to power three-phase AC induction motors.**\n\n\u2022 **25 kV was chosen as the optimal voltage balancing power transmission efficiency against equipment costs - higher voltages improve efficiency but require expensive larger insulators and greater structural clearances.**\n\n\u2022 **The system is vulnerable to weather conditions, with moisture potentially causing short circuits, as demonstrated by the 2009 Eurostar breakdowns in the Channel Tunnel.**""",500,351-600
15,1907,Why do centaurs have relatively short lifetimes compared to other Solar System objects?,They are constantly colliding with planets,They have unstable orbits that last only a few million years,They evaporate quickly due to solar radiation,They are consumed by Jupiter's gravitational field,B,without_facts,,25,6-25
16,4485,What three primary characteristics are used to assign asteroid spectral types?,"Size, orbital period, and distance from Sun","Reflectance spectrum, color, and albedo","Mass, density, and rotation period","Temperature, magnetic field, and composition",B,with_facts,"""\u2022 Asteroid spectral types are assigned based on reflectance spectrum, color, and albedo, which are thought to correspond to the asteroid's surface composition.\n\n\u2022 The first asteroid classification system was developed in 1975 with three basic categories: \""C\"" for dark carbonaceous objects, \""S\"" for stony objects, and \""U\"" for unclassified asteroids.\n\n\u2022 The Tholen classification system, proposed in 1984, is the most widely used taxonomy and includes 14 types based on data from 978 asteroids observed between 0.31-1.06 micrometers wavelength.\n\n\u2022 Most asteroids fall into three main groups: C-group (dark, carbonaceous objects like Ceres and Pallas), S-group (siliceous/stony objects like Vesta and Juno), and X-group (which subdivides into primitive P-type, metallic M-type, and bright E-type based on albedo).\n\n\u2022 The Bus-DeMeo classification system, developed in 2009, expanded the taxonomy to 24 classes based on spectral analysis of 371 asteroids over 0.45-2.45 micrometers wavelength.\n\n\u2022 Multiple classification schemes exist (Tholen, SMASS, Bus-DeMeo, S3OS2) that sometimes assign different types to the same asteroid due to different criteria and methodologies.\n\n\u2022 The Tholen system uses additional notations like \""U\"" for unusual spectra, colons for noisy data, and multiple letters when classification is ambiguous (e.g., \""CG\"" or \""SCT\"").\n\n\u2022 Large differentiated bodies like Ceres and Vesta have internal structure, while smaller undifferentiated bodies likely have similar surface and internal compositions.""",25,6-25
17,484,What was the most significant achievement that distinguished Venera 7 from all previous space missions?,It was the first spacecraft to reach Venus orbit,It was the first to successfully soft-land on another planet and transmit data back,It was the first to measure atmospheric composition of another planet,It was the first Soviet spacecraft to leave Earth's atmosphere,B,without_facts,,500,351-600
18,2292,The name 'Tennessee' originates from which source?,A Spanish explorer's name for the region,An English translation meaning 'volunteer land',A Cherokee town called 'Tanasi',A French term for the Tennessee River,C,with_facts,"""I notice there's a mismatch between your request and the article content. You asked for facts about \""Tennessine\"" (which is a chemical element), but the article provided is about \""Tennessee\"" (the U.S. state). I'll extract key facts from the Tennessee article that was provided:\n\n\u2022 Tennessee is a landlocked state in the Southeastern United States, ranking as the 36th-largest by area and 15th-most populous state with an estimated 7.22 million residents as of 2024.\n\n\u2022 The state is divided into three Grand Divisions: East, Middle, and West Tennessee, with Nashville serving as both the capital and largest city.\n\n\u2022 Tennessee became the 16th state to join the Union on June 1, 1796, and earned the nickname \""The Volunteer State\"" due to its strong tradition of military service.\n\n\u2022 The state's name derives from \""Tanasi,\"" a Cherokee town, with the modern spelling attributed to Governor James Glen of South Carolina in the 1750s.\n\n\u2022 Tennessee was the last state to secede from the Union during the Civil War and the first former Confederate state to be readmitted after the war ended.\n\n\u2022 The state underwent major economic transformation in the 20th century, aided by federal investment in the Tennessee Valley Authority (TVA) and Oak Ridge, which housed Manhattan Project uranium enrichment facilities during World War II.\n\n\u2022 Tennessee's modern economy is dominated by healthcare, music, finance, automotive, chemical, electronics, and tourism sectors.\n\n\u2022 The state has played a major role in developing popular music genres including country, blues, rock and roll, soul, and gospel music.\n\n\u2022 The Great Smoky Mountains National Park, located in eastern Tennessee, is the nation's most visited national park.""",150,101-200
19,2437,Why is the standard Lewis structure O=O inadequate for representing molecular oxygen?,It shows the wrong bond length,It indicates the wrong bond order,It fails to show the unpaired electrons and paramagnetism,It doesn't represent the ground state properly,C,without_facts,,5,1-5
20,1246,How many sovereign states in Oceania are United Nations member states?,12,14,16,18,B,with_facts,"""\u2022 Oceania is a geographical region that is mostly ocean spanning many tectonic plates, occasionally listed as one of the continents, with Australia as its main continental landmass.\n\n\u2022 Geopolitical Oceania includes four main subregions: Australasia, Melanesia, Micronesia, and Polynesia.\n\n\u2022 The boundary between Southeast Asia and Oceania is not clearly defined, with the United Nations considering the Indonesian\u2013Papua New Guinean border as the political boundary between the two regions.\n\n\u2022 There are 14 sovereign states in Oceania that are United Nations member states, and all of them are full members of the Pacific Islands Forum.\n\n\u2022 Two states, the Cook Islands and Niue, are in free association with New Zealand, maintaining close constitutional ties while having full treaty-making capacity and acting largely as independent states.\n\n\u2022 The region contains numerous non-sovereign territories that fall into three categories: federal territories, integral parts of sovereign states, and dependent territories.\n\n\u2022 Seven territories have formal relationships with the Pacific Islands Forum: French Polynesia and New Caledonia as associate members, and five others (American Samoa, Guam, Northern Mariana Islands, Tokelau, and Wallis and Futuna) as observers.\n\n\u2022 The geological boundaries of Oceania are complex, with some Indonesian provinces lying on the Australian continental shelf, while biogeographical lines like the Wallace and Lydekker lines help distinguish Asian from Australian flora and fauna.""",50,26-50
21,4257,"How long did Disney Channel operate under the original name ""Disney Channel Premiere Films"" before rebranding?",12 years (1983-1995),14 years (1983-1997),16 years (1983-1999),10 years (1983-1993),B,without_facts,,750,601-1000
22,5307,"In the context of a Riemannian manifold's tangent bundle, what is the structure group and what type of matrices does the curvature form take values in?","Structure group GL(n), curvature form takes values in symmetric matrices","Structure group O(n), curvature form takes values in antisymmetric matrices","Structure group SL(n), curvature form takes values in diagonal matrices","Structure group U(n), curvature form takes values in Hermitian matrices",B,with_facts,"""\u2022 The curvature form describes the curvature of a connection on a principal bundle, with the Riemann curvature tensor being a special case of this general concept.\n\n\u2022 For a principal G-bundle P \u2192 B with Ehresmann connection \u03c9 (a Lie algebra-valued 1-form), the curvature form is defined as \u03a9 = d\u03c9 + \u00bd[\u03c9 \u2227 \u03c9] = D\u03c9, where D is the exterior covariant derivative.\n\n\u2022 A connection is called \""flat\"" if its curvature form vanishes (\u03a9 = 0), which is equivalent to the structure group being reducible to the same group with discrete topology.\n\n\u2022 For vector bundles, the curvature form follows Cartan's structure equation: \u03a9 = d\u03c9 + \u03c9 \u2227 \u03c9, where \u03c9 and \u03a9 are treated as matrices of differential forms.\n\n\u2022 In the case of a Riemannian manifold's tangent bundle, the structure group is O(n) and the curvature form \u03a9 takes values in antisymmetric matrices, providing an alternative description of the Riemann curvature tensor.\n\n\u2022 The curvature form is a Lie algebra-valued 2-form that can be expressed in terms of horizontal vector fields as \u03a9(X,Y) = -\u03c9([X,Y]) when X and Y are horizontal.\n\n\u2022 For vector bundle components, the curvature form satisfies \u03a9^i_j = d\u03c9^i_j + \u03a3_k \u03c9^i_k \u2227 \u03c9^k_j, showing how individual form components interact through wedge products.""",500,351-600
23,3058,How does the tenure system work for Kansas Supreme Court justices after their initial appointment?,They serve life terms with no retention votes,They face retention votes every 6 years until mandatory retirement at 75,They must be reappointed by each new Governor,They serve one 6-year term and then must retire,B,without_facts,,200,101-200
24,1229,What does the organizational structure established in 2017 reveal about the RTS Link project management approach?,A single multinational company handles all aspects of the project,Each country independently manages its own portion without coordination,"Joint operation through SMRT-Prasarana partnership, but separate national infrastructure companies",Malaysia leads construction while Singapore focuses on operations,C,with_facts,"""\u2022 The Johor Bahru\u2013Singapore Rapid Transit System (RTS) Link is a 4 km (2.5 mi) twin-track rapid transit system that will connect Bukit Chagar station in Malaysia with Woodlands North station in Singapore, with operations targeted to commence in January 2027.\n\n\u2022 The system is expected to serve 40,000 passengers daily at launch, with long-term plans to accommodate approximately 140,000 daily passengers.\n\n\u2022 Both stations will feature independent customs, immigration and quarantine (CIQ) facilities for both countries, separate from existing border checkpoints at Sultan Iskandar Building and Woodlands Checkpoint.\n\n\u2022 The RTS Link will replace the existing KTM Shuttle Tebrau service between JB Sentral and Woodlands Train Checkpoint stations by June 2027.\n\n\u2022 The project was first proposed in 1990 during discussions between Singapore's Lee Kuan Yew and Malaysia's Mahathir Mohamad, but was later revisited and formally proposed during the Singapore-Malaysia Leaders' Retreat in May 2010.\n\n\u2022 In September 2015, Bukit Chagar was selected as the Malaysian terminus through a public vote, chosen over other options including Tanjong Puteri and JB Sentral locations.\n\n\u2022 The system will use a high-bridge crossing design to span the Strait of Johor, as confirmed by both countries' prime ministers in December 2016.\n\n\u2022 A joint venture between SMRT Corporation and Prasarana Malaysia was established in 2017 to operate the link, with each government appointing separate infrastructure companies to handle construction and maintenance in their respective countries.""",25,6-25
25,1753,Which statement best describes how English uses different frames of reference?,English uses only relative reference for all spatial descriptions,English primarily uses absolute reference with some relative terms,English uses all three frames but relies mainly on relative reference,English alternates equally between intrinsic and absolute reference,C,without_facts,,750,601-1000
26,5030,What geological event marked the end of Balkanatolia's separation from other landmasses?,The formation of the Mediterranean Sea,The Eocene-Oligocene extinction event (Grande Coupure),The collision of Africa with Europe,The opening of the Atlantic Ocean,B,with_facts,"""\u2022 Balkanatolia was an island continent or series of islands that existed for approximately 10 million years until the end of the Eocene epoch, separated from both Asia and Western Europe.\n\n\u2022 The Balkanatolian landmass comprised the region of the modern-day Balkans and Anatolia, with fossil mammals distinct from those found in western Europe or Asia.\n\n\u2022 Eocene fossil mammals found in southeastern Europe (including Amynodontidae, Hyracodontidae, Brontotheriidae, and Anthracotheriidae) showed closer relationships to Asian species rather than western European ones.\n\n\u2022 The distinct Balkanatolian fauna remained separate from Western Europe for about 10 million years until the Eocene-Oligocene extinction event (Grande Coupure), when Antarctic glaciation caused sea levels to fall and enabled land migration.\n\n\u2022 During the Grande Coupure, the endemic western European fauna largely disappeared and was replaced by Asian forms, some of which may have arrived via Balkanatolia.\n\n\u2022 Asian mammals began colonizing southeastern Europe (part of Balkanatolia) during the middle or late Eocene, between the Lutetian and Priabonian stages, as evidenced by fossils of bachitheriids and cricetid rodents.\n\n\u2022 The fauna of southeastern Europe differed from that of Anatolia within Balkanatolia itself, suggesting possible internal barriers to animal movement between eastern and western parts of the landmass.""",250,201-350
27,1262,"What was the peak wind speed achieved by Hurricane Carlotta, the season's first hurricane?",85 mph,95 mph,80 mph,90 mph,D,without_facts,,10,6-25
28,1602,"Based on the latitude range given, what can be concluded about the Thracian Sea's position relative to the 40th parallel?",Part of it lies south of the 40th parallel,It straddles the 40th parallel equally,The entire sea lies north of the 40th parallel,Most of it lies south of the 40th parallel,C,with_facts,"""\u2022 The Thracian Sea is the northernmost part of the Aegean Sea, bounded by Macedonia, Thrace, and northwestern Turkey.\n\n\u2022 The sea connects to the Black Sea through a series of waterways: the Dardanelles Strait, the Sea of Marmara, and the Bosphorus Strait.\n\n\u2022 The entire sea lies north of the 40th parallel, extending from 23\u00b0E to 25.8\u00b0E longitude and from 40.25\u00b0N to 41\u00b0N latitude.\n\n\u2022 Major islands in the Thracian Sea include Thasos and Samothrace (Greece) and G\u00f6k\u00e7eada/Imvros (Turkey), with the sea extending south to the north coast of Lemnos.\n\n\u2022 Important gulfs and bays include the Ierissian Gulf, Strymonian Gulf, Kavala Gulf, and Saros Gulf in Turkey.\n\n\u2022 Major rivers that empty into the sea include the Strymon, Nestos, and Evros/Meri\u00e7 rivers.\n\n\u2022 The northern part of the Thracian Sea serves as a habitat for the endangered Black Sea harbor porpoise (Phocoena phocoena relicta).\n\n\u2022 Key ports in the region include Kavala, Alexandroupoli, Amfipoli, Thasos, and Samothrace.""",25,6-25
29,1715,What fundamental characteristic distinguishes gravity from the other three fundamental forces in physics?,Gravity is the weakest of all fundamental forces,Gravity is the only force that acts over long distances,Gravity is the only fundamental force not yet described by quantum mechanics,Gravity is the only force that can bend spacetime,C,without_facts,,50,26-50
30,4868,What was the closest recorded distance of a storm passing near Barbados among the examples provided?,"12 miles (Tropical Storm Gonzalo, 2020)","20 miles (Hurricane Allen, 1980)","35 miles (Hurricane Tomas, 2010)","75 miles (Hurricane Harvey, 2017)",A,with_facts,"""\u2022 Barbados has experienced numerous hurricane encounters from 1950 to present, with most storms passing within 20-75 miles of the island rather than making direct hits.\n\n\u2022 Hurricane Tomas in October 2010 was the most impactful recent storm, causing $8.5 million in damage, affecting 1,200 residences, and recording wind gusts of 105 mph at the airport, though no deaths occurred.\n\n\u2022 The island typically experiences tropical storms and hurricanes passing to the north, south, northeast, or southwest, with distances ranging from as close as 12 miles (Tropical Storm Gonzalo, 2020) to 75 miles away.\n\n\u2022 Hurricane Allen in August 1980 passed \""just north of the island,\"" representing one of the closest encounters on record during the period covered.\n\n\u2022 Recent significant storms include Hurricane Harvey (2017) which caused widespread power outages and flooding, Hurricane Elsa (2021) which passed just south of the island, and Hurricane Beryl (2024) which sunk 40 small boats and destroyed 4 homes.\n\n\u2022 Tomas in 2010 holds the distinction of being the latest hurricane on record in a calendar year to impact the Windward Islands region where Barbados is located.\n\n\u2022 The storms have varied in intensity when passing Barbados, ranging from tropical depressions to Category 2 hurricanes, with many weakening to tropical storm status by the time they reach the island's vicinity.""",1,1-5
31,557,What was the chronological relationship between the fall of Assyria and Babylon's rise to dominance?,Babylon rose to power 50 years before Assyria fell,Babylon became the most powerful state after Assyria fell in 612 BC,Babylon and Assyria shared power equally until 539 BC,Babylon conquered Assyria in 612 BC but remained weak,B,without_facts,,500,351-600
32,3468,"In the bag-of-words model, what do the key-value pairs represent when describing a document?",Keys are document names and values are total word counts,Keys are words and values are their positions in the document,Keys are sentence numbers and values are words in each sentence,Keys are words and values are the number of occurrences of each word,D,with_facts,"""\u2022 The bag-of-words (BoW) model represents text as an unordered collection of words, disregarding word order and grammar while capturing word frequency/multiplicity.\n\n\u2022 BoW is primarily used in natural language processing, information retrieval, and document classification, where word occurrence frequencies serve as features for training classifiers.\n\n\u2022 The model treats documents with identical words but different word order as equivalent (e.g., \""man bites dog\"" and \""dog bites man\"" have the same BoW representation).\n\n\u2022 BoW represents each document as key-value pairs where keys are words and values are the number of occurrences of each word in the document.\n\n\u2022 Common implementations use word frequencies that can be normalized using tf-idf (term frequency-inverse document frequency) or binary weighting (presence/absence) depending on the application.\n\n\u2022 The hashing trick is an alternative implementation that maps words directly to indices using a hash function, eliminating the need to store a dictionary and improving scalability.\n\n\u2022 Despite losing syntactic and grammatical information, BoW is computationally fast and sufficient for simple tasks like document classification where word order is less critical.\n\n\u2022 An early reference to the \""bag of words\"" concept in linguistics dates back to Zellig Harris's 1954 article on Distributional Structure.""",200,101-200
33,1903,Which Chinese astronomical theory most closely resembled modern understanding by proposing that celestial bodies exist as matter floating freely in space?,Gaitian theory,Huntian theory,Xuanye theory,Tianwen theory,C,without_facts,,5,1-5
