topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Antibiotic resistance markers,1.0,0.2,0,5,0.8
Viral capsid,1.0,0.2,0,5,0.8
Antigenic shift,1.0,0.2,0,5,0.8
List of birds of Ceará,0.8,0.0,54,5,0.8
Viral envelope,0.8,0.0,0,5,0.8
Bacillota,1.0,0.2,39,20,0.8
Bat wing development,1.0,0.2,29,5,0.8
Mermithidae,0.8,0.0,26,10,0.8
Metagonimiasis,1.0,0.2,43,5,0.8
M protein (Streptococcus),0.8,0.0,62,85,0.8
Tomato brown rugose fruit virus,0.8,0.0,12,100,0.8
Viral latency,0.8,0.0,0,5,0.8
List of laboratory biosecurity incidents,0.8,0.0,22,110,0.8
Blue–white screen,1.0,0.2,20,310,0.8
Brucellosis,1.0,0.2,35,55,0.8
Lactoylglutathione lyase,1.0,0.2,82,20,0.8
Lacticaseibacillus rhamnosus,1.0,0.2,82,95,0.8
Kudoa thyrsites,0.8,0.0,47,20,0.8
Alloenzyme,1.0,0.2,11,95,0.8
Shiga toxin,1.0,0.2,0,5,0.8
Virulence factors,1.0,0.2,0,5,0.8
Pathogenic Escherichia coli,1.0,0.2,9,100,0.8
Selectable marker,1.0,0.2,0,5,0.8
Deoxyadenosine,0.8,0.0,86,5,0.8
IDN homograph attack,1.0,0.2,97,5,0.8
Plant virology,0.8,0.0,0,5,0.8
Zearalenone,1.0,0.2,2,45,0.8
Selective pressure,1.0,0.2,0,5,0.8
Pantoea agglomerans,1.0,0.2,75,55,0.8
Orthornavirae,1.0,0.2,56,155,0.8
Ectodysplasin A receptor,1.0,0.2,85,20,0.8
Entamoeba histolytica,1.0,0.2,20,5,0.8
Original antigenic sin,1.0,0.2,0,5,0.8
Entomophthora muscae,0.8,0.0,89,10,0.8
Pathogen,1.0,0.2,6,20,0.8
Heyndrickxia coagulans,1.0,0.2,72,150,0.8
Guide RNA,0.8,0.0,3,55,0.8
Edman degradation,1.0,0.2,44,25,0.8
Histidine,1.0,0.2,48,40,0.8
Influenza A virus subtype H7N9,1.0,0.2,90,115,0.8
List of sequenced bacterial genomes,0.8,0.0,80,175,0.8
Influenza nucleoprotein,1.0,0.2,0,5,0.8
Influenza plaque assay,1.0,0.2,0,5,0.8
DNA vaccine,0.8,0.0,0,5,0.8
Russo-Ukrainian cyberwarfare,0.8,0.0,84,5,0.8
Prion diseases,1.0,0.2,0,5,0.8
2001 anthrax attacks,0.8,0.0,0,5,0.8
Toxin synthesis,0.75,0.0,0,4,0.75
Influenza A virus subtype H1N1,0.75,0.0,91,92,0.75
Bioaerosol,0.75,0.0,0,4,0.75
Adenovirus,0.75,0.0,0,4,0.75
Astrocytes,1.0,0.3333333333333333,0,3,0.6666666666666667
Viral genome synthesis,0.6666666666666666,0.0,0,3,0.6666666666666666
Enterovirus,0.8,0.2,0,5,0.6000000000000001
Ballistic gelatin,0.8,0.2,85,5,0.6000000000000001
Bacteria,0.8,0.2,47,30,0.6000000000000001
Lipopolysaccharide,0.8,0.2,0,5,0.6000000000000001
Human interactions with insects,0.8,0.2,56,5,0.6000000000000001
Lipoarabinomannan,0.8,0.2,79,95,0.6000000000000001
Ribosome-inactivating protein,0.8,0.2,0,5,0.6000000000000001
Trifid cipher,0.8,0.2,29,5,0.6000000000000001
Trypanosoma,0.8,0.2,0,5,0.6000000000000001
Methylenetetrahydrofolate reductase,0.8,0.2,80,50,0.6000000000000001
Tuberculosis vaccines,0.8,0.2,26,15,0.6000000000000001
Attenuated vaccine,0.8,0.2,26,140,0.6000000000000001
List of Trichoderma species,0.8,0.2,78,5,0.6000000000000001
Rickettsiales,0.8,0.2,16,30,0.6000000000000001
Host factor,0.8,0.2,1,10,0.6000000000000001
Seventh cholera pandemic,0.8,0.2,10,35,0.6000000000000001
Malwarebytes (software),0.8,0.2,47,10,0.6000000000000001
List of bioterrorist incidents,0.8,0.2,43,15,0.6000000000000001
List of established military terms,0.8,0.2,13,5,0.6000000000000001
Virgin soil epidemic,0.8,0.2,13,10,0.6000000000000001
Glycoside hydrolase,0.8,0.2,61,15,0.6000000000000001
Viral tegument,0.8,0.2,0,5,0.6000000000000001
Viral reassortment,0.8,0.2,0,5,0.6000000000000001
Genomics,0.8,0.2,59,80,0.6000000000000001
Viral oncogenesis,0.8,0.2,0,5,0.6000000000000001
H5N1,0.8,0.2,0,5,0.6000000000000001
Hafnia (bacterium),0.8,0.2,32,50,0.6000000000000001
Pyrosequencing,0.8,0.2,76,40,0.6000000000000001
Fomite,0.8,0.2,49,15,0.6000000000000001
Platypus venom,0.8,0.2,20,35,0.6000000000000001
Hepadnaviridae,0.8,0.2,13,210,0.6000000000000001
Piscivore,0.8,0.2,25,5,0.6000000000000001
Ancient DNA,0.8,0.2,74,175,0.6000000000000001
MZF1,0.8,0.2,14,5,0.6000000000000001
Macrophage polarization,0.8,0.2,0,5,0.6000000000000001
Feline infectious peritonitis,0.8,0.2,65,115,0.6000000000000001
Anthrax Vaccine Immunization Program,0.8,0.2,1,40,0.6000000000000001
Anthrax bioterrorism,0.8,0.2,0,5,0.6000000000000001
Phagosome,0.8,0.2,47,25,0.6000000000000001
Replicon (genetics),0.8,0.2,61,20,0.6000000000000001
Reporter gene,0.8,0.2,68,120,0.6000000000000001
Heteroplasmy,0.8,0.2,78,5,0.6000000000000001
Mouse mammary tumor virus,0.8,0.2,92,115,0.6000000000000001
Timeline of the COVID-19 pandemic,0.8,0.2,16,15,0.6000000000000001
Chloroflexota,0.8,0.2,20,85,0.6000000000000001
Streptobacillus moniliformis,0.8,0.2,66,80,0.6000000000000001
Chytridiomycota,0.8,0.2,39,5,0.6000000000000001
Second plague pandemic,0.8,0.2,0,5,0.6000000000000001
Japanese people in Hong Kong,0.8,0.2,93,5,0.6000000000000001
Clonally transmissible cancer,0.8,0.2,63,115,0.6000000000000001
Cloning,0.8,0.2,83,20,0.6000000000000001
Spike protein,0.8,0.2,46,60,0.6000000000000001
Nirmatrelvir,0.8,0.2,0,5,0.6000000000000001
Selective media,0.8,0.2,0,5,0.6000000000000001
Complement receptor 2,0.8,0.2,85,165,0.6000000000000001
Introduction to viruses,0.8,0.2,21,250,0.6000000000000001
Cordycepin,0.8,0.2,66,5,0.6000000000000001
Obfuscation,0.8,0.2,15,5,0.6000000000000001
Origin of replication,0.8,0.2,76,15,0.6000000000000001
Coronavirus spike protein,0.8,0.2,46,20,0.6000000000000001
Corynebacterium diphtheriae,0.8,0.2,86,55,0.6000000000000001
Olenivka prison massacre,0.8,0.2,16,10,0.6000000000000001
Site-directed mutagenesis,0.8,0.2,0,5,0.6000000000000001
Influenza A virus,0.8,0.2,0,5,0.6000000000000001
Influenza A virus subtype H3N2,0.8,0.2,30,245,0.6000000000000001
Influenza B virus,0.8,0.2,0,5,0.6000000000000001
Short hairpin RNA,0.8,0.2,5,170,0.6000000000000001
Influenza reassortment,0.8,0.2,0,5,0.6000000000000001
Cyclin-dependent kinase 1,0.8,0.2,95,70,0.6000000000000001
Information hazard,0.8,0.2,84,50,0.6000000000000001
KHAD-KGB campaign in Pakistan,0.8,0.2,58,5,0.6000000000000001
Streptococcus salivarius,0.8,0.2,51,155,0.6000000000000001
Booster dose,0.8,0.2,23,30,0.6000000000000001
Immunology,0.8,0.2,95,35,0.6000000000000001
Leishmaniasis vaccine,0.8,0.2,13,35,0.6000000000000001
Thiomersal,0.8,0.2,91,10,0.6000000000000001
The Hot Zone,0.8,0.2,56,5,0.6000000000000001
DNA mismatch repair,0.8,0.2,64,260,0.6000000000000001
Lao Airlines Flight 301,0.8,0.2,53,5,0.6000000000000001
Tetanus toxin,0.8,0.2,45,70,0.6000000000000001
CAMP test,0.8,0.2,78,15,0.6000000000000001
Lactobacillus gasseri,0.8,0.2,88,10,0.6000000000000001
CYP1A2,0.8,0.2,97,20,0.6000000000000001
Murine typhus,0.8,0.2,3,50,0.6000000000000001
Ebola,0.8,0.2,24,195,0.6000000000000001
SLU-PP-332,0.8,0.2,98,20,0.6000000000000001
Synthetic virus,0.8,0.2,0,5,0.6000000000000001
Myxococcus xanthus,0.8,0.2,13,100,0.6000000000000001
Kinetic-segregation model of T cell activation,0.8,0.2,18,40,0.6000000000000001
Kinase,0.8,0.2,6,5,0.6000000000000001
STING (protein),0.8,0.2,0,5,0.6000000000000001
Saccharomyces boulardii,0.8,0.2,47,35,0.6000000000000001
Cell transfection,0.8,0.2,0,5,0.6000000000000001
Killer robot,0.8,0.2,74,5,0.6000000000000001
Ceratonova shasta,0.8,0.2,91,125,0.6000000000000001
Immunity (medicine),0.8,0.2,28,70,0.6000000000000001
Chemotaxis,0.8,0.2,81,5,0.6000000000000001
Paleolithic dog,0.8,0.2,81,5,0.6000000000000001
Necrophage,0.8,0.2,92,5,0.6000000000000001
Codon usage bias,0.8,0.2,0,5,0.6000000000000001
List of shrimp dishes,0.8,0.2,35,5,0.6000000000000001
Lymphocytic choriomeningitis,0.8,0.2,24,25,0.6000000000000001
1808 mystery eruption,0.8,0.2,55,5,0.6000000000000001
2009 swine flu pandemic in Argentina,0.8,0.2,6,110,0.6000000000000001
List of mammals of Grand Teton National Park,0.8,0.2,86,5,0.6000000000000001
Listeria monocytogenes,0.8,0.2,83,70,0.6000000000000001
Mollicutes,1.0,0.4,84,60,0.6
Human parainfluenza viruses,0.6,0.0,68,365,0.6
Thiolutin,0.6,0.0,79,15,0.6
Chimera (virus),1.0,0.4,45,135,0.6
Pseudomonas denitrificans,0.6,0.0,87,20,0.6
Monkeypox virus,0.6,0.0,18,150,0.6
Plant pathology,1.0,0.4,0,5,0.6
NLRP3 inflammasome,1.0,0.4,0,5,0.6
Cyber kill chain,0.6,0.0,90,5,0.6
Brevetoxin,0.6,0.0,0,5,0.6
Exercise Alice,0.6,0.0,39,5,0.6
Maitotoxin,0.6,0.0,1,40,0.6
Myxomatosis,0.6,0.0,56,160,0.6
Variants of SARS-CoV-2,0.6,0.0,13,170,0.6
Three-finger toxin,0.6,0.0,15,30,0.6
Injury in plants,1.0,0.4,61,5,0.6
Quorum sensing,1.0,0.4,0,5,0.6
Legionella pneumophila,1.0,0.4,61,50,0.6
Ichnovirus,0.6,0.0,40,90,0.6
Anthrax toxin,0.6,0.0,0,5,0.6
List of deadly fungus species,1.0,0.4,65,5,0.6
Pentraxins,1.0,0.4,78,35,0.6
Immunological memory,1.0,0.4,36,115,0.6
Trombiculidae,1.0,0.4,59,5,0.6
Genetic history of East Asians,0.6,0.0,10,80,0.6
Vibrio,1.0,0.4,19,125,0.6
Acinetobacter,1.0,0.4,27,90,0.6
Streptococcus pyogenes,1.0,0.4,56,45,0.6
Staphylococcus epidermidis,1.0,0.4,65,50,0.6
History of the COVID-19 pandemic in the United Kingdom,1.0,0.4,36,20,0.6
Actinomycetota,1.0,0.4,80,15,0.6
Hybridogenesis in water frogs,0.6,0.0,97,5,0.6
Shigellosis,1.0,0.4,25,30,0.6
Recombinant virus,1.0,0.4,0,5,0.6
Rhizaria,1.0,0.4,38,25,0.6
Streptococcus sanguinis,1.0,0.4,65,220,0.6
Gene drive,1.0,0.4,0,5,0.6
Ion channel hypothesis of Alzheimer's disease,1.0,0.4,83,10,0.6
Human genetic resistance to malaria,1.0,0.4,38,95,0.6
Borrelia burgdorferi,1.0,0.4,28,335,0.6
2016 shooting of Dallas police officers,1.0,0.4,29,10,0.6
Malware,0.6,0.0,77,5,0.6
Directed evolution,1.0,0.4,0,5,0.6
Phage display,0.6,0.0,0,5,0.6
Host microbe interactions in Caenorhabditis elegans,1.0,0.4,89,30,0.6
Challenge–response authentication,1.0,0.4,51,10,0.6
Sarcoscypha coccinea,0.6,0.0,63,5,0.6
Timeline of the COVID-19 pandemic in January 2020,0.6,0.0,61,40,0.6
Pleistocene human diet,1.0,0.4,20,5,0.6
DHX36,0.6,0.0,16,35,0.6
List of animals that can get SARS-CoV-2,0.6,0.0,43,10,0.6
List of unproven methods against COVID-19,1.0,0.4,77,5,0.6
Influenza genome,0.6,0.0,0,5,0.6
Yersinia pestis,0.6,0.0,0,5,0.6
Server-side request forgery,0.6,0.0,100,5,0.6
Eukaryote,0.6,0.0,49,5,0.6
Ligase chain reaction,1.0,0.4,46,45,0.6
Cereulide,1.0,0.4,1,35,0.6
Nakaseomyces glabratus,1.0,0.4,47,70,0.6
Transposition cipher,1.0,0.4,93,5,0.6
Atacama skeleton,1.0,0.4,75,5,0.6
Luhansk Oblast campaign,1.0,0.4,30,5,0.6
Type VI secretion system,0.6,0.0,0,5,0.6
Reston virus,0.6,0.0,30,115,0.6
Vancomycin-resistant Staphylococcus aureus,0.6,0.0,78,105,0.6
Semliki Forest virus,0.6,0.0,0,5,0.6
NEMO deficiency syndrome,0.6,0.0,63,20,0.6
Cyclooxygenase-2,0.6,0.0,50,15,0.6
Ceratobasidium,0.6,0.0,74,20,0.6
Disease transmission,0.6,0.0,0,5,0.6
Iridoviridae,0.6,0.0,6,165,0.6
Plasmodium,1.0,0.4,45,65,0.6
Homeosis,1.0,0.4,65,15,0.6
Cloning vector,1.0,0.4,14,145,0.6
Dipylidium caninum,0.6,0.0,44,5,0.6
Human bocavirus,0.6,0.0,5,210,0.6
Cytotoxicity,1.0,0.4,100,20,0.6
MHC class III,0.6,0.0,95,260,0.6
Porcine epidemic diarrhea virus,0.6,0.0,30,65,0.6
Viral shedding,1.0,0.4,73,20,0.6
Endemic (epidemiology),1.0,0.4,68,35,0.6
Pathogen transmission,1.0,0.4,4,20,0.6
Inactivated vaccine,1.0,0.4,52,30,0.6
Echinococcus multilocularis,1.0,0.4,56,20,0.6
Sitophilus,0.6,0.0,93,5,0.6
CHEK1,0.6,0.0,41,30,0.6
Multiple drug resistance,1.0,0.4,1,20,0.6
Stem rust,1.0,0.4,43,5,0.6
Ovine rinderpest,1.0,0.4,74,35,0.6
Viral neuroinvasion,1.0,0.4,0,5,0.6
Immunoprecipitation,1.0,0.4,98,30,0.6
Triclosan,0.6,0.0,50,5,0.6
1900 English beer poisoning,1.0,0.4,44,115,0.6
Rinderpest,0.6,0.0,93,30,0.6
Xanthomonas campestris,0.6,0.0,96,50,0.6
Bacillus anthracis,1.0,0.4,0,5,0.6
Bacteroidota,1.0,0.4,29,255,0.6
Nectria cinnabarina,0.6,0.0,88,5,0.6
Telomerase reverse transcriptase,1.0,0.4,100,165,0.6
Virulence factor,1.0,0.4,97,185,0.6
Incomplete lineage sorting,1.0,0.4,64,30,0.6
Mycobacterium,1.0,0.4,33,245,0.6
Lactobacillus crispatus,0.6,0.0,71,120,0.6
I-motif DNA,0.6,0.0,80,90,0.6
COVID-19 pandemic in South Korea,1.0,0.4,65,15,0.6
Electronic harassment,0.6,0.0,83,5,0.6
Triatoma infestans,1.0,0.4,30,50,0.6
Raw meat,1.0,0.4,95,15,0.6
Zoonosis,0.6,0.0,0,5,0.6
Mung bean nuclease,0.6,0.0,99,45,0.6
Hexachloroethane,0.6,0.0,75,15,0.6
Protein fusion,1.0,0.4,0,5,0.6
Virus classification,0.6,0.0,4,295,0.6
Endemic COVID-19,1.0,0.4,93,45,0.6
Streptococcus,1.0,0.4,12,5,0.6
List of seasonal influenza vaccines,0.6,0.0,57,30,0.6
Hypomyces lactifluorum,1.0,0.4,31,5,0.6
Single-stranded binding protein,0.6,0.0,27,105,0.6
Penicillium expansum,1.0,0.4,37,15,0.6
Plague (disease),0.6,0.0,48,45,0.6
Viral complementation,0.6,0.0,0,5,0.6
Burkholderia,1.0,0.4,52,65,0.6
List of English words of Gaulish origin,0.6,0.0,46,200,0.6
Viral evasion,0.6,0.0,0,5,0.6
Crotalus scutulatus,1.0,0.4,58,5,0.6
Acoramidis,0.6,0.0,40,20,0.6
Viral fusion proteins,1.0,0.4,0,5,0.6
Internal transcribed spacer,0.6,0.0,73,145,0.6
Virus neutralization,1.0,0.4,0,5,0.6
West Nile virus,0.6,0.0,0,5,0.6
Viral genome assembly,0.6,0.0,0,5,0.6
Trichoderma cornu-damae,0.6,0.0,53,35,0.6
Hepatitis A and B vaccine,1.0,0.4,8,5,0.6
Inflammation,1.0,0.5,58,36,0.5
Pantoea,0.5,0.0,83,12,0.5
Physostigmine,1.0,0.5,11,4,0.5
PB1-F2 protein,0.5,0.0,0,4,0.5
Bacillus,1.0,0.5,18,60,0.5
Adenovirus vector,0.5,0.0,0,4,0.5
Kaposi's sarcoma-associated herpesvirus,1.0,0.5,0,4,0.5
Virus viability,1.0,0.5,0,4,0.5
Reassortment,0.5,0.0,0,4,0.5
Bioterrorism preparedness,1.0,0.5,0,4,0.5
Upper respiratory tract infection,1.0,0.5,62,16,0.5
Chromosome 20,0.8,0.4,81,100,0.4
Negative pressure ventilator,1.0,0.6,86,5,0.4
Horizontal gene transfer in evolution,1.0,0.6,39,80,0.4
Biomass (ecology),0.8,0.4,55,5,0.4
Favipiravir,0.8,0.4,60,10,0.4
Strongylocentrotus purpuratus,0.8,0.4,61,10,0.4
Biological Weapons Convention,0.8,0.4,3,30,0.4
Inbreeding avoidance,1.0,0.6,43,5,0.4
Lineage (evolution),1.0,0.6,78,30,0.4
Structural motif,1.0,0.6,99,60,0.4
Petrifaction,0.8,0.4,69,5,0.4
Karen M. Frank,0.8,0.4,86,10,0.4
Regulation of gene expression,1.0,0.6,22,80,0.4
Homologous chromosome,0.8,0.4,8,15,0.4
Microbiota decussata,1.0,0.6,23,5,0.4
Immunogenicity,1.0,0.6,9,50,0.4
Biological warfare in popular culture,0.8,0.4,46,30,0.4
Evaluation Assurance Level,0.8,0.4,37,5,0.4
Linear epitope,0.8,0.4,11,10,0.4
Memory disorder,1.0,0.6,38,5,0.4
Phage therapy,1.0,0.6,49,230,0.4
Metabolic network modelling,0.8,0.4,77,165,0.4
Homeostatic model assessment,0.8,0.4,40,10,0.4
Diphtheria toxin,0.8,0.4,0,5,0.4
Exotoxin,1.0,0.6,14,145,0.4
Photoheterotroph,0.8,0.4,26,5,0.4
Transcriptome,0.8,0.4,67,240,0.4
Bibliography,1.0,0.6,54,5,0.4
Streptococcus agalactiae,0.8,0.4,92,20,0.4
Phosphorylation cascade,0.8,0.4,40,5,0.4
Methamphetamine,1.0,0.6,67,5,0.4
Lignophagia,1.0,0.6,30,5,0.4
Beta-1 adrenergic receptor,0.8,0.4,19,15,0.4
Schistosoma,0.8,0.4,32,15,0.4
Transgenerational epigenetic inheritance,1.0,0.6,58,45,0.4
Streptococcus pneumoniae,1.0,0.6,72,35,0.4
Histocompatibility,0.8,0.4,73,10,0.4
Dikaryon,1.0,0.6,65,5,0.4
Schistosoma mansoni,0.8,0.4,54,5,0.4
Benzo(a)pyrene,0.8,0.4,88,10,0.4
Recombinant DNA,0.8,0.4,0,5,0.4
History of cholera,0.8,0.4,5,5,0.4
5-HT7 receptor,0.8,0.4,59,20,0.4
Dioxins and dioxin-like compounds,0.8,0.4,12,35,0.4
Physarum polycephalum,0.8,0.4,72,5,0.4
Rectification (geometry),0.8,0.4,83,5,0.4
Hib vaccine,0.8,0.4,86,75,0.4
Evolutionary arms race,0.8,0.4,61,15,0.4
Seal meat,0.8,0.4,39,60,0.4
Bioaugmentation,1.0,0.6,40,20,0.4
Evolutionary radiation,1.0,0.6,73,5,0.4
Diphtheria antitoxin,1.0,0.6,13,5,0.4
Schild equation,1.0,0.6,74,5,0.4
Strain (biology),0.8,0.4,53,115,0.4
Streptococcus constellatus,0.8,0.4,72,55,0.4
Batrachochytrium dendrobatidis,0.8,0.4,37,30,0.4
Chimera (genetics),0.8,0.4,67,20,0.4
K-mer,0.8,0.4,0,5,0.4
Trench fever,1.0,0.6,19,10,0.4
List of infectious diseases,0.8,0.4,32,75,0.4
Streptophyta,0.8,0.4,100,5,0.4
Kahr PM series,0.8,0.4,95,5,0.4
Chikungunya,0.8,0.4,0,5,0.4
Digital biquad filter,1.0,0.6,22,5,0.4
Streptomyces,0.8,0.4,77,75,0.4
Zika virus,0.8,0.4,0,5,0.4
Crop tolerance to seawater,1.0,0.6,13,5,0.4
Saxitoxin,0.8,0.4,0,5,0.4
Bunyaviridae,0.8,0.4,0,5,0.4
EBNA1,0.8,0.4,0,5,0.4
Tetracycline antibiotics,0.8,0.4,43,10,0.4
"Laminin, beta 2",0.8,0.4,66,35,0.4
Carrageenan,0.8,0.4,86,5,0.4
Hygiene hypothesis,0.8,0.4,34,45,0.4
Endospore,1.0,0.6,22,20,0.4
Mucorales,1.0,0.6,7,10,0.4
Dysentery,0.8,0.4,40,20,0.4
Hydroxycarboxylic acid receptor 2,0.8,0.4,29,30,0.4
Komagataella,0.8,0.4,30,105,0.4
Rickettsia helvetica,0.8,0.4,52,65,0.4
Burkholderia cepacia complex,0.8,0.4,66,125,0.4
Casomorphin,0.8,0.4,24,20,0.4
SARS-CoV-2 Gamma variant,0.8,0.4,89,170,0.4
Castanospermum,0.8,0.4,3,5,0.4
Dynorphin,0.8,0.4,3,30,0.4
Parkin (protein),0.8,0.4,36,30,0.4
SM-65 Atlas,0.8,0.4,4,5,0.4
Parasitic disease,1.0,0.6,67,10,0.4
Myosin,0.8,0.4,92,45,0.4
Ribose,0.8,0.4,92,10,0.4
Zeltnera,0.8,0.4,95,5,0.4
Hydrochoerus,0.8,0.4,81,10,0.4
Duesberg hypothesis,0.8,0.4,57,5,0.4
Mothers against decapentaplegic,1.0,0.6,31,10,0.4
Klebsiella variicola,0.8,0.4,72,15,0.4
Acanthamoeba,0.8,0.4,85,45,0.4
IL1RAP,0.8,0.4,94,55,0.4
List of real-time tactics video games,1.0,0.6,56,35,0.4
COVID-19 protests in the United Kingdom,0.8,0.4,97,5,0.4
Hypogammaglobulinemia,1.0,0.6,85,30,0.4
Russian Alsos,1.0,0.6,24,10,0.4
Muscarinic antagonist,0.8,0.4,6,10,0.4
Mutation,0.8,0.4,75,105,0.4
Tarjan's strongly connected components algorithm,0.8,0.4,35,5,0.4
Ehrlichia canis,0.8,0.4,101,125,0.4
La domain,0.8,0.4,74,5,0.4
Teletext character set,0.8,0.4,70,55,0.4
CRISPR gene editing,0.8,0.4,0,5,0.4
ICMPv6,0.8,0.4,15,10,0.4
Elution,1.0,0.6,27,5,0.4
"Take a picture, it will last longer",0.8,0.4,82,185,0.4
COVID-19 pandemic in Syria,1.0,0.6,12,30,0.4
CAIG Wing Loong,0.8,0.4,91,5,0.4
Rotaxane,1.0,0.6,68,5,0.4
Rotavirus immunity,1.0,0.6,0,5,0.4
ICP34.5,0.8,0.4,0,5,0.4
Lactococcus virus P008,0.8,0.4,74,65,0.4
Mycobacterium leprae,0.8,0.4,44,10,0.4
Echinomycin,0.8,0.4,82,15,0.4
Lactuca serriola,1.0,0.6,101,5,0.4
Mycoplasma,1.0,0.6,65,5,0.4
COVID-19 lockdown in India,0.8,0.4,45,10,0.4
Pectobacterium carotovorum,1.0,0.6,86,10,0.4
Terminator (genetics),0.8,0.4,78,95,0.4
IKZF1,0.8,0.4,33,35,0.4
Latent TGF-beta binding protein,0.8,0.4,53,5,0.4
Hyaluronic acid,0.8,0.4,49,5,0.4
Dirt,0.8,0.4,13,5,0.4
Mitochondrion,0.8,0.4,33,10,0.4
Herpesvirus immune evasion,0.8,0.4,0,5,0.4
Sapovirus,1.0,0.6,23,150,0.4
Leptospira,1.0,0.6,68,45,0.4
Blood agent,0.8,0.4,10,10,0.4
Leptospirosis,0.8,0.4,0,5,0.4
Immortalised cell line,1.0,0.6,44,10,0.4
Immune complex,1.0,0.6,5,70,0.4
Cerebrolysin,0.8,0.4,43,35,0.4
Ceruloplasmin,1.0,0.6,45,35,0.4
Key escrow,0.8,0.4,69,5,0.4
Host–parasite coevolution,0.8,0.4,63,10,0.4
Pesticide,1.0,0.6,50,40,0.4
Ethidium bromide,0.8,0.4,97,5,0.4
Human disease modifier gene,1.0,0.6,13,40,0.4
Bispecific monoclonal antibody,0.8,0.4,14,35,0.4
Host-pathogen interaction,0.8,0.4,0,5,0.4
1932–33 Football League,0.8,0.4,95,5,0.4
Naringin,1.0,0.6,60,5,0.4
Biotechnology risk,1.0,0.6,7,100,0.4
Misconceptions about HIV/AIDS,1.0,0.6,10,20,0.4
Keratic precipitate,0.8,0.4,50,5,0.4
Chargaff's rules,0.8,0.4,49,70,0.4
Subunit vaccine,0.8,0.4,32,100,0.4
Petiole (botany),0.8,0.4,61,5,0.4
Paleodictyon,0.8,0.4,70,5,0.4
Ligamenta flava,0.8,0.4,92,5,0.4
AGM-69 SRAM,0.8,0.4,16,5,0.4
Lentil soup,0.8,0.4,77,5,0.4
Mosaic (genetics),0.8,0.4,70,15,0.4
Periplasmic expression,0.8,0.4,0,5,0.4
Ribavirin,0.8,0.4,67,45,0.4
Klebsiella oxytoca,0.8,0.4,94,25,0.4
Cave of septum pellucidum,0.8,0.4,100,5,0.4
Bromethalin,0.8,0.4,60,35,0.4
Klebsiella,1.0,0.6,94,115,0.4
Ibrexafungerp,0.8,0.4,37,5,0.4
Epidemiology,0.8,0.4,75,35,0.4
Monocercomonoides,0.8,0.4,33,5,0.4
Human milk oligosaccharide,1.0,0.6,77,235,0.4
Dopamine receptor D2,0.8,0.4,1,90,0.4
Kinamycin,0.8,0.4,64,15,0.4
Bovine leukemia virus,0.8,0.4,51,240,0.4
