"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"10","Vaghela dynasty","• The Vaghela dynasty ruled the Kingdom of Gujarat in the 13th century CE with their capital at Dholka, and were the last dynasty to rule Gujarat before the Muslim conquest. • The Vaghelas originally served as feudal lords under the Chaulukya dynasty in the 12th century and claimed to be a branch of that dynasty, with the earliest known member Dhavala marrying the maternal aunt of Chaulukya monarch Kumarapala. • The dynasty's name 'Vaghela' comes from the village Vyaghrapalli (meaning 'tiger's lair'), and they called themselves Chaulukyas while claiming the same mythological descent. • Lavanaprasada and his son Viradhavala gained significant power during the reign of weak Chaulukya king Bhima II in the 13th century, becoming de facto rulers while nominally acknowledging Chaulukya authority. • In the mid-1240s, Viradhavala's son Visaladeva usurped the throne and established the Vaghela dynasty as independent rulers of Gujarat. • The dynasty ended in 1304 CE when the last Vaghela ruler Karna was defeated by Nusrat Khan of the Delhi Sultanate, resulting in the loss of Gujarat to Muslim forces. • Arnoraja was the first prominent Vaghela family member, serving Kumarapala loyally and helping suppress rebellions by provincial governors who revolted against the young king Bhima II.","List of mines in Japan","Vaghela dynasty","Steel","Cementite","2","List of mines in Japan","238","Steel","207","Cementite","139","1"
"11","Comparison of high-definition smartphone displays","Based on the provided Wikipedia article content, here are the key facts about high-definition smartphone displays: • The comparison focuses on smartphone displays with three main categories: 720p, 1080p, and 1440p resolution displays • The 'p-display' nomenclature refers to the number of pixels displayed across the width of a phone's screen • Only smartphones with 720p resolution or higher (HD ready resolution and above) are included in the comparison • The article excludes earlier phones with resolutions lower than 720p • Display categories include standard resolutions (720p, 1080p, 1440p) as well as nonstandard resolutions (750-828 and 1179-1320) • The comparison also includes a 2160p (4K UHD) category for ultra-high-definition smartphone displays • The article provides information about screen technology, resolution, size, and pixel density for each device • The lists are designed to be sortable alphabetically using sort icons in the first column","Comparison of high-definition smartphone displays","Punched tape","Demarcation point","Approximate string matching","1","Approximate string matching","238","Demarcation point","109","Punched tape","117","350"
"12","Spectrogram","• An optical spectrometer is an instrument that measures properties of light over specific portions of the electromagnetic spectrum, typically used to identify materials through spectroscopic analysis. • Spectrometers can operate across a wide range of wavelengths from gamma rays and X-rays to the far infrared, though individual instruments typically work within smaller ranges due to different measurement techniques required. • Joseph von Fraunhofer developed the first modern spectroscope in the early 19th century by combining a prism, diffraction slit, and telescope, and later invented the first diffraction spectroscope. • Gustav Robert Kirchhoff and Robert Bunsen pioneered the use of spectroscopes for chemical analysis and discovered the elements caesium and rubidium using this technique. • When materials are heated to incandescence, they emit light characteristic of their atomic makeup, creating sharply defined spectral bands that act like 'fingerprints' for identification. • Modern spectroscopes typically use diffraction gratings, movable slits, and photodetectors controlled by computers, replacing earlier designs that used simple prisms with wavelength graduations. • Spectrometers have diverse applications including astronomy (analyzing radiation from celestial objects to determine chemical composition), chemistry, and gemology (identifying gemstones through absorption spectra). • The evolution from spectroscopes to spectrographs involved replacing visual observation with photographic film and later electronic circuits with photomultiplier tubes for more accurate real-time analysis.","Musique concrète","Spectrogram","Comparison of free software for audio","Middle ear","2","Middle ear","217","Musique concrète","244","Comparison of free software for audio","162","10"
"13","Communism in 20 years","• Nikita Khrushchev announced the 'Communism in 20 years' slogan at the 22nd Congress of the Communist Party of the Soviet Union in 1961. • Khrushchev promised that a communist society would be built 'in the main' by 1980, claiming this timeline was based on 'scientific calculations.' • The slogan included the assertion that 'The current generation of Soviet people will live under communism,' which became the final phrase of the Third Program of the CPSU adopted at the congress. • The phrase 'The current generation of Soviet people will live under communism' was later removed from the Party program. • Kremlin speechwriter Elizar Kuskov is credited with creating the political slogan and reportedly made a cynical comment that 'this slogan will survive centuries,' expressing doubt about whether the goal could actually be achieved. • The promise represented an official Soviet commitment to achieving full communism within a specific timeframe, marking a significant policy declaration of the Khrushchev era.","Communism in 20 years","Stalin tunic","Vadim Rogovin","Marceli Nowotko","1","Stalin tunic","218","Vadim Rogovin","244","Marceli Nowotko","248","150"
"14","Battle of Solway Moss","• The Battle of Solway Moss occurred in November 1542 between English and Scottish forces near the River Esk on the English side of the Anglo-Scottish border. • The conflict arose because Scottish King James V refused his uncle Henry VIII's demand to break from the Catholic Church and convert to Protestantism. • A Scottish army of 15,000-18,000 men advanced into England on November 24, 1542, but suffered from poor leadership and command structure breakdown. • The battle was a decisive English victory despite being heavily outnumbered - Lord Wharton's 3,000 English troops routed the much larger Scottish force. • The Scots became trapped between the River Esk and Solway Moss (a peat bog), leading to mass surrenders and drownings, with several hundred Scots possibly drowning in the marshes and river. • Approximately 1,200 Scottish prisoners were captured, including high-ranking nobles like the Earls of Cassilis, Glencairn, and Maxwell, while only about 7 Englishmen and 20 Scots were killed. • News of the devastating defeat reportedly hastened the death of King James V, who died two weeks later at age 30 after falling ill with fever and learning his newborn child was a daughter rather than a son. • The captured Scottish nobles were generally well-treated in England, as Henry VIII hoped they would support English interests upon their return to Scotland after paying ransoms.","Excalibur","Blanchefleur","Battle of Solway Moss","William Rowley","3","Blanchefleur","216","Excalibur","239","William Rowley","234","750"
"15","Freedom of speech in the United States","• **First Amendment Protection**: Freedom of speech in the United States is strongly protected from government restrictions by the First Amendment to the U.S. Constitution, which applies to federal, state, and local governments under the incorporation doctrine. • **Government vs. Private Restrictions**: The First Amendment only prevents government restrictions on speech, not restrictions imposed by private individuals or businesses (unless they are acting on behalf of the government). • **Categories with Limited Protection**: Several categories of speech receive lesser or no First Amendment protection, including obscenity, fraud, child pornography, speech integral to illegal conduct, speech that incites imminent lawless action, and commercial advertising. • **Burden of Proof**: When a speech restriction is challenged in court, it is presumed invalid and the government bears the burden of proving the restriction is constitutional. • **Broader Speech Rights**: The First Amendment protects not only the right to speak but also the right to receive information, prohibits discrimination between speakers, and prevents the government from forcing individuals to speak or finance speech they disagree with. • **Historical Foundation**: Colonial America gradually expanded freedom of speech from 1607-1700, with the 1735 trial of John Peter Zenger marking a significant victory for free speech when a jury acquitted him of seditious libel for criticizing government officials. • **Bill of Rights Origins**: The First Amendment was adopted largely due to Anti-Federalist concerns that the new Constitution gave too much power to the federal government, with the Bill of Rights serving to limit federal authority. • **Time, Place, and Manner Restrictions**: The Supreme Court has recognized that governments may enact reasonable restrictions on the time, place, or manner of speech, even while protecting its content.","Eighteenth Amendment to the United States Constitution","List of federal judges appointed by Joe Biden","Jeffersonian democracy","Freedom of speech in the United States","4","Eighteenth Amendment to the United States Constitution","143","List of federal judges appointed by Joe Biden","186","Jeffersonian democracy","244","500"
"16","Discovery and exploration of the Solar System","• Ancient civilizations could only observe objects visible to the naked eye: the Sun, Moon, five classical planets (Mercury, Venus, Mars, Jupiter, Saturn), comets, meteors, and aurorae. • The invention of the telescope in the early modern period revolutionized solar system discovery, leading to the identification of moons, planetary rings, new planets, asteroids, and helping establish that Earth is one planet among many. • For millennia, what we now know as the Solar System was considered the entire universe, with a clear distinction between our solar system and outer space not emerging until the mid-17th century. • Ancient Greeks discovered that Phosphorus (morning star) and Hesperus (evening star) were actually the same object - the planet Venus. • The concept of a spherical Earth first gained intellectual dominance in the Pythagorean school of Ancient Greece in the 5th century BC, though most early civilizations believed in a flat Earth. • Modern space exploration through robotic probes, the Apollo Moon landings, and space telescopes has vastly expanded knowledge of planetary atmospheres, geology, and electromagnetic properties, creating the field of planetary science. • Various forms of electromagnetic radiation beyond visible light - including radio, infrared, ultraviolet, X-ray, and gamma-ray astronomy - have enabled detailed study of solar system composition and properties. • Ancient astronomers called the classical planets 'wanderer stars' (planētes asteres in Greek) due to their puzzling forward and backward motion against the fixed background stars, giving us the modern word 'planet.'","Voyager Golden Record","2012 VP113","Moons of Uranus","Discovery and exploration of the Solar System","4","Voyager Golden Record","105","Moons of Uranus","201","2012 VP113","170","1"
"17","Audi A2","• The Audi A1 is a luxury supermini car first launched at the 2010 Geneva Motor Show, with sales beginning in Germany in August 2010 and the UK in November 2010. • A five-door variant called the 'Sportback' was launched in November 2011, while the second generation was released in 2019 with the three-door model being discontinued in 2018. • The A1 was previewed through several concept cars, including the 2007 metroproject featuring a plug-in hybrid powertrain with a 1.4L turbo engine and electric motor. • The first generation A1 is built on the Volkswagen Group PQ25 platform, shared with the SEAT Ibiza Mk4 and VW Polo Mk5, and was produced at Audi's Belgian factory in Forest, near Brussels. • The A1 uses MacPherson strut front suspension and torsion beam rear suspension, with UK trim levels including SE (base), Sport, and S line specifications. • Most engines include start-stop system and energy recuperation technology, except for certain variants like the 185 PS 1.4 TFSI and S tronic version of the 1.6-litre TDI. • By June 23, 2011, Audi had produced 100,000 A1 vehicles at their Brussels plant, demonstrating strong early production success. • A special 2011 Audi A1 painted by artist Damien Hirst was sold for £350,000, highlighting the model's cultural appeal.","Vehicle registration plates of the Soviet Union","Honda Civic (first generation)","Audi A2","Bentley 3 Litre","3","Vehicle registration plates of the Soviet Union","135","Bentley 3 Litre","139","Honda Civic (first generation)","119","200"
"18","Third Dynasty of Egypt","• The Third Dynasty (c. 2686-2613 BC) marks the beginning of Egypt's Old Kingdom period, with Memphis as the capital. • Djoser is now widely considered the founder of the Third Dynasty, as archaeological evidence shows he buried and succeeded Khasekhemwy, the last king of the Second Dynasty. • The dynasty lasted approximately 75 years according to the Turin King List, though modern scholarly estimates vary by more than a century. • Djoser commissioned his vizier Imhotep to build the Step Pyramid, which is the earliest surviving pyramid in Egypt. • Historical records disagree significantly on the number and order of Third Dynasty rulers - ancient king lists record between 4-5 kings while Manetho records 9, many of whom may be duplicate names for the same rulers. • The dynasty emerged after a turbulent period that may have included civil war during the final years of the Second Dynasty. • Key rulers include Djoser (the most famous), Sekhemkhet (who reigned 6-7 years), and Huni (the last king), though the exact identities and sequence of some kings remain uncertain. • Some scholars propose the Third Dynasty may have originated from southern Egypt or Sudan, though this remains debated among Egyptologists.","Nut (goddess)","Chronology of bladed weapons","Third Dynasty of Egypt","Wadjenes","3","Wadjenes","144","Chronology of bladed weapons","218","Nut (goddess)","222","50"
"19","Treatise","• A treaty is a legally binding international agreement between sovereign states or international organizations, governed by international law and known by various terms such as convention, protocol, covenant, or pact. • Treaties can be bilateral (between two countries) or multilateral (involving more than two countries) and cover diverse subjects including security, trade, environment, human rights, and establishment of international institutions. • The 1969 Vienna Convention on the Law of Treaties (VCLT) codified international practices and established comprehensive rules for creating, amending, interpreting, and terminating treaties. • All valid treaties must comply with the principle of pacta sunt servanda ('agreements must be kept'), requiring parties to perform their duties and honor agreements in good faith. • Treaties serve as primary sources of international law and are only binding on parties that have signed and ratified them, unlike customary international law which applies more broadly. • Modern treaties typically follow a consistent format: preamble identifying parties and objectives, numbered articles containing the actual agreement, and an eschatocol (closing protocol) with execution details and signatures. • Treaties can be invalidated if they violate preemptory norms (jus cogens), such as permitting wars of aggression or crimes against humanity. • International agreements have been used by major civilizations throughout history but became increasingly sophisticated during the early modern era and widespread in the 19th century.","Treatise","Cross-polytope","World line","Dublin Core","1","Cross-polytope","112","Dublin Core","188","World line","197","750"
"20","List of islands in the Indian Ocean","• The Indian Ocean islands are geographically divided into three main regions: eastern, western, and southern areas. • Some of the most prominently large islands in the Indian Ocean include Madagascar, Sri Lanka, and the Indonesian islands of Sumatra, Java, and Lesser Sunda Islands. • The Eastern Indian Ocean contains islands belonging to multiple countries including India (Andaman and Nicobar Islands), Australia (Christmas Island, Cocos Islands), Indonesia (Nias, Mentawai Islands), Malaysia (Langkawi, Penang), Thailand (Phuket, Phi Phi Islands), and Myanmar (Mergui Archipelago). • The Western Indian Ocean includes major island nations and territories such as Madagascar, Maldives, Mauritius, Seychelles, Comoros, and Réunion, as well as archipelagos belonging to African nations like Tanzania's Zanzibar and Mafia archipelagos. • Several Western Indian Ocean territories remain under European control, including Mayotte and Réunion (France), while the Chagos Archipelago is transitioning from UK to Mauritius control. • The Southern Indian Ocean contains primarily uninhabited or research-focused islands controlled by France (Kerguelen Islands, Île Amsterdam), Australia (Heard Island and McDonald Islands), and South Africa (Prince Edward Islands). • The Indian Ocean islands span a vast range of political jurisdictions, with territories belonging to at least 15 different countries across Asia, Africa, Europe, and Oceania.","Shewanella","Black people and early Mormonism","List of islands in the Indian Ocean","List of mines in Japan","3","Black people and early Mormonism","175","List of mines in Japan","139","Shewanella","150","100"
"21","Chopta","• Chopta is a small region of meadows and evergreen forest located in Uttarakhand state, India, situated at an elevation of 2,709 metres (8,888 ft) above sea level and part of Kedarnath wildlife sanctuary. • It serves as a base for trekking to Tungnath temple (3.5 km away), the third temple of Panch Kedar, and Chandrashila summit (1.5 km from Tungnath), which rises to over 4,000 metres (13,000 ft). • The region offers panoramic views of major Himalayan peaks including Trishul, Nanda Devi, Chaukhamba, and 41 other Himalayan peaks, with the best visibility during winter months when skies are clear. • Chopta is located 162 kilometres from Rishikesh, 45 km from Ukhimath, and approximately 450 kilometres from Delhi, accessible via roads connecting Gopeshwar with Guptkashi. • The area experiences heavy snowfall from November to March with temperatures ranging from -15°C to 15°C, creating 4-7 feet thick snow layers by January, while summers (March-May) are pleasant with temperatures between 10°C-30°C. • The region is rich in biodiversity, surrounded by forests of pine, deodar, and rhododendron, and home to rare species including monal birds, musk deer, and pika mice, making it popular among birdwatchers. • Popular activities include trekking, camping, snow skiing, rock climbing, and photography, with the complete Chopta-Tungnath-Chandrashila trek typically taking 3-5 days starting from Kund. • Key attractions include Tungnath temple at 3,680m elevation, Chandrashila peak at 4,090m, Deoria Tal lake at 2,350m, and dense forests within the Kedarnath Wildlife Sanctuary.","2013 Nanga Parbat massacre","Chopta","Shimla","Demographics of Asia","2","Shimla","181","Demographics of Asia","152","2013 Nanga Parbat massacre","194","500"
"22","Uniform Resource Name","• A Uniform Resource Name (URN) is a type of Uniform Resource Identifier (URI) that uses the 'urn:' scheme and serves as a globally unique, persistent identifier that remains available even after the original resource ceases to exist. • URNs cannot be used to directly locate resources and are not required to be resolvable, functioning instead as templates for other systems to find items, unlike URLs which specify resource locations. • The original three-part Internet architecture concept included URNs, URLs, and Uniform Resource Characteristics (URCs), but URCs never developed beyond the conceptual stage. • Since RFC 3986 in 2005, the formal distinction between URNs and URLs has been deprecated in technical standards in favor of the broader term 'URI,' though both terms remain in informal use. • URN syntax follows the format 'urn:NID:NSS' where NID is the namespace identifier and NSS is the namespace-specific string, with recent updates in 2017 allowing slash characters and adding optional q-component and r-component parameters. • URN namespace identifiers must be registered with IANA to ensure global uniqueness, with two categories: 'formal' namespaces (subject to specific restrictions) and 'informal' namespaces (assigned number sequences by IANA). • Approximately sixty formal URN namespaces have been registered, including examples like 'urn:isbn' for International Standard Book Numbers and 'urn:uuid' for universally unique identifiers. • Formal URN namespaces must meet specific requirements including being more than two letters long, not starting with 'urn-' or 'XY-' combinations, and not conflicting with existing registered identifiers.","Web feed","Internet layer","Uniform Resource Name","Schema.org","3","Schema.org","186","Web feed","189","Internet layer","101","25"
