"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"62","B-300","Here are the key facts about the B-36 'Peacemaker': • The B-36 was a strategic bomber operated by the United States Air Force from 1949 to 1959, and is the largest mass-produced piston-engined aircraft ever built • Designed in early 1941, the bomber was originally conceived to have the ability to reach Europe from North America, with an initial requirement for a combat range of at least 5,700 miles • It was the primary nuclear weapons delivery vehicle for Strategic Air Command (SAC) until being replaced by the B-52 Stratofortress in 1955 • The B-36 was the only American aircraft capable of carrying large first-generation atomic bombs from U.S. airfields to targets in the USSR during the early Cold War period • It had an exceptionally long range, able to fly missions to targets 3,400 miles away and stay airborne for up to 40 hours • The aircraft was nicknamed the 'aluminum overcast' and was known for its high cruising altitude, which put it out of range of most interceptors and anti-aircraft guns • Its maximum payload was more than four times that of the B-29 and exceeded the payload of the later B-52 • The B-36 was slow and unable to refuel in midair, but was crucial to U.S. strategic bombing capabilities in the early years of the Cold War","Iranian support for Hamas","B-300","Seacat (missile)","Lockheed A-12","2","Lockheed A-12","212","Iranian support for Hamas","108","Seacat (missile)","151","517"
"63","Charcot–Wilbrand syndrome","Here are the key facts about Charcot–Wilbrand syndrome (CWS): • CWS is a rare neurological condition characterized by the loss of dream experiences and the inability to mentally recall or 'revisualize' visual images • The syndrome was first described by Jean-Martin Charcot and Hermann Wilbrand, with two main variants: complete loss of dreaming or loss of dream imagery • Potential physiological causes include acute brain damage such as thrombosis, hemorrhage, trauma, carbon monoxide poisoning, brain tumors, and conditions like Alzheimer's disease • The brain lesions associated with CWS are typically located in the lateral or mesial occipitotemporal regions, often affecting both sides of the brain • Damage to the brain can disrupt REM sleep sensory systems, particularly the visual system, which may contribute to the loss of dream experiences • In most cases, the inability to dream is temporary, with dreaming typically returning within 12 months • Modern detection methods like polysomnography can help analyze sleep architecture and dream-related brain activity • The syndrome involves not just dream loss, but also visual agnosia (inability to recognize visual images) and difficulties in mental image recall • CWS provides insights into the neurological pathways responsible for dream formation and visual memory processing","Bats language","Haplorhini","NKG2D","Charcot–Wilbrand syndrome","4","Haplorhini","149","Bats language","120","NKG2D","167","476"
"64","Proteus vulgaris","Here are the key facts about Proteus vulgaris: • Proteus vulgaris is a rod-shaped, Gram-negative bacterium that naturally inhabits the intestinal tracts of humans and animals, and can also be found in soil, water, and fecal matter. • It is an opportunistic pathogen capable of causing wound infections and urinary tract infections (UTIs), particularly in patients with long-term catheters or urinary tract abnormalities. • The bacterium is characterized by its ability to produce urease, which can lead to struvite stone formation by increasing urine pH and precipitating organic and inorganic compounds. • P. vulgaris is a motile organism that grows optimally in facultative anaerobic conditions at around 40°C. • In laboratory tests, it ferments glucose and amygdalin, produces indole, and is positive for methyl red and sulfur reduction tests. • The bacterium was first isolated by Hauser in 1885 from putrefied meat and has undergone several taxonomic revisions since then. • It is part of the Enterobacterales order and is one of the most common microorganisms responsible for Gram-negative bacteremia and sepsis. • P. vulgaris can be identified using various laboratory systems, including the API 20E identification system and the Becton/Dickinson BBL Enterotube II system.","Origin of the Basques","Critical green inclusion","Methionine","Proteus vulgaris","4","Methionine","180","Origin of the Basques","139","Critical green inclusion","201","201"
"65","List of people indicted in the International Criminal Court","• The International Criminal Court (ICC) has publicly indicted 73 people for crimes including genocide, crimes against humanity, war crimes, aggression, and contempt of court under the Rome Statute. • Currently, 38 cases have ongoing proceedings with 32 individuals remaining at large as fugitives, while 35 cases have been completed with outcomes including convictions, acquittals, dismissed charges, and deaths before trial conclusion. • The ICC has investigated 17 different situations across multiple countries and regions, including Democratic Republic of Congo, Uganda, Darfur/Sudan, Central African Republic, Kenya, Libya, Afghanistan, Palestine, and Ukraine. • An individual is indicted when a Pre-Trial Chamber finds 'reasonable grounds to believe that the person has committed a crime within the jurisdiction of the Court' and issues either an arrest warrant or summons. • Of completed cases, only 10 individuals have served or are serving sentences, while 4 have been acquitted, 8 have had charges dismissed, and 4 have had charges withdrawn. • The Court issues arrest warrants when necessary to ensure trial appearance, prevent obstruction of proceedings, or stop continued commission of crimes, while summons are used when sufficient to ensure appearance. • Cases involve various international crimes with specific focus on situations of armed conflict, post-election violence, and systematic attacks against civilian populations across multiple continents.","Glob (programming)","Bibliometrics","Myzozoa","List of people indicted in the International Criminal Court","4","Glob (programming)","229","Myzozoa","212","Bibliometrics","162","411"
"66","Fibroblast growth factor 2","• **FGF-2 is a growth factor and signaling protein** encoded by the FGF2 gene, also known as basic fibroblast growth factor (bFGF), that binds to fibroblast growth factor receptors (FGFRs) • **Functions in multiple biological processes** including embryonic development, cell growth, tissue repair, tumor growth and invasion, and angiogenesis (formation of new blood vessels) • **Critical for stem cell maintenance** - FGF-2 is necessary for human embryonic stem cells to remain undifferentiated in culture, though the exact mechanisms are poorly understood • **Exists in multiple protein forms** ranging from 18 kDa to 34 kDa, where low molecular weight forms are cytoplasmic and secreted, while high molecular weight forms are directed to the cell nucleus • **Plays important roles in reproduction and development** - promotes embryonic development in mammals, prevents cell death in reproductive cells, and is essential for proper blastocyst development • **Has therapeutic potential** - preliminary animal studies show FGF-2 can protect heart tissue from injury during heart attacks and low levels are associated with excessive anxiety • **Involved in bone and metabolic processes** - synthesized by fat cells (with levels correlating to BMI), affects bone-forming cell proliferation, and can influence bone cell differentiation depending on concentration • **Activated during tissue repair** - stored in basement membranes and activated by enzymes during wound healing to promote blood vessel formation","List of interstellar and circumstellar molecules","Haplogroup R1a","Vagovagal reflex","Fibroblast growth factor 2","4","Haplogroup R1a","209","Vagovagal reflex","187","List of interstellar and circumstellar molecules","105","780"
"67","Vaginal melanoma","Here are the key facts about Vaginal melanoma: • Vaginal melanoma is a rare and aggressive cancer originating from melanocytes in the vaginal epithelium • It accounts for only 5.5% of vaginal cancers and 1% of all melanomas diagnosed in women • The median overall survival is just 16 months, indicating a very poor prognosis • Most commonly develops on the lowest third of the vagina and can be several centimeters in size • Typically darkly pigmented and irregularly shaped, though 7% of cases are amelanotic (non-pigmented) • Diagnosis involves a biopsy and can be confirmed through immunocytochemistry testing for specific proteins • Lymph node metastases are the most important risk factor and prognostic indicator • Primary treatment is surgical, with limited effectiveness of traditional chemotherapy • Emerging treatments include checkpoint inhibitors and targeted therapies like BRAF and MEK inhibitors • Often diagnosed in advanced stages, which contributes to its poor survival rates","Limonia acidissima","Vaginal melanoma","Allosteric enzyme","Tooth enamel","2","Limonia acidissima","143","Allosteric enzyme","182","Tooth enamel","225","757"
"68","Effect of spaceflight on the human body","Here are the key facts about the effects of spaceflight on the human body: • Spaceflight causes multiple harmful physiological changes, including muscle atrophy, skeleton deterioration (spaceflight osteopenia), and decreased red blood cell production (space anemia) • Microgravity environment impacts the body in three critical ways: loss of proprioception, changes in fluid distribution, and musculoskeletal system deterioration • Astronauts experience significant brain changes, with longer space trips associated with more pronounced structural and positional alterations in the brain • NASA identifies five key spaceflight challenges using the acronym RIDGE: space radiation, isolation and confinement, distance from Earth, gravity fields, and hostile environments • During takeoff and re-entry, astronauts can experience up to 3-6 times normal gravity, which can cause temporary vision loss and potential loss of consciousness • Space missions can activate latent viruses and potentially damage gastrointestinal tissues and brain function • Long-term spaceflight can cause additional symptoms like fluid redistribution, loss of body mass, nasal congestion, sleep disturbance, and changes in the immune system • The NASA Twin Study demonstrated long-lasting changes in DNA and cognition after extended space travel, highlighting the complex biological impacts of spaceflight","Aerobic vaginitis","Taste receptor","GFAJ-1","Effect of spaceflight on the human body","4","GFAJ-1","186","Taste receptor","176","Aerobic vaginitis","237","232"
"69","Viverrinae","Here are the key facts about Viverrinae from the Wikipedia article: • Viverridae is a family of small to medium-sized feliform mammals, comprising 14 genera with 33 species • Viverrids are found across Africa, southern Europe, and South and Southeast Asia • They are considered the most primitive family of feliform Carnivora, less specialized than Felidae (cats) • Distinctive physical characteristics include: - Four or five toes on each foot - Half-retractile claws - Longer muzzle compared to cats - Rough tongue with sharp prickles • Their dental structure is less developed for meat-shearing compared to other carnivoran families • The family was first described by John Edward Gray in 1821 and originally included genera like Viverra, Genetta, Herpestes, and Suricata • Subfamilies include Genettinae (genets and oyans), Viverrinae (civets), Paradoxurinae, and Hemigalinae (palm civets) • Most species have specialized scent glands near their external generative organs • Genetic analysis has helped refine the classification, including proposing separate families for some previously included species like Cryptoprocta and Nandinia","List of omics topics in biology","Viverrinae","Collation","Polyethylenimine","2","Collation","244","List of omics topics in biology","193","Polyethylenimine","158","393"
"70","Doctor Who Restoration Team","Here are the key facts about the Doctor Who Restoration Team: • Formed in 1992, the Restoration Team is a group of Doctor Who fans, many working in the television industry, who restore classic Doctor Who episodes • The team received funding from the BBC to perform colour restorations, initially focusing on John Pertwee era episodes • Their primary restoration philosophy is to preserve the original broadcast quality, avoiding unnecessary improvements or modifications to the original content • They have worked on all classic series DVD and Blu-Ray releases, as well as the final VHS releases of Doctor Who • The team's restoration work includes: - Color grading - Remaking opening and closing credits - Removing untidy transitional frames - Adjusting miscued sound effects - Subtly improving visual effects • Key restoration principle, as stated by Steve Roberts, is to present episodes as close to the original broadcast master tapes as possible • Mark Ayres, a prominent team member, has been responsible for extensive audio restoration work since 1999, including work on VHS, DVD releases, and 'Missing Soundtrack' CDs • The team carefully balances technical correction with maintaining the original production's integrity, sometimes deliberately preserving original technical imperfections","Apache Parquet","Doctor Who Restoration Team","Q+/Papias hypothesis","Cartagena Protocol on Biosafety","2","Apache Parquet","195","Cartagena Protocol on Biosafety","165","Q+/Papias hypothesis","143","258"
"71","Cochliomyia macellaria","• **Cochliomyia macellaria** is a species of blow fly known as the 'secondary screwworm' because it typically infests wounds after primary myiasis-causing flies have already invaded. • **Geographic distribution** spans from southern Canada to northern South America, with highest concentrations in the southeastern United States (especially Florida, Louisiana, and Georgia), thriving in warm, humid climates. • **Physical appearance** includes a metallic greenish-blue thorax with three black longitudinal stripes, red-orange head and eyes, and adult size ranging from 5-8 mm. • **Life cycle** involves females laying up to 1,000+ eggs in groups of 40-250, with eggs hatching in 24 hours (or as quickly as 4 hours in favorable conditions), followed by a 4-7 day larval stage and pupation in soil. • **Larvae characteristics** are cream-colored with cylindrical bodies, small spines on each segment (resembling screw parts), and can grow up to 17 mm long by the third instar stage. • **Medical and economic significance** includes posing risks to humans and livestock as larvae infect wounds and dead tissue, while also carrying pathogens like Salmonella and swine influenza virus. • **Ecological role** serves as important decomposers, commonly found around carrion, garbage, slaughterhouses, and outdoor markets in tropical areas. • **Species distinction** from closely related C. hominivorax can be made by pale (rather than black) hairs on the fronto-orbital plate, different thoracic stripe patterns, and larvae lacking pigmented tracheal trunks.","Cochliomyia macellaria","Nicotiana","Taeniasis","Viverrinae","1","Viverrinae","157","Taeniasis","233","Nicotiana","197","92"
"72","Russian foreign agent law","Here are the key facts about the Russian foreign agent law: • Enacted in 2012, the law requires individuals and organizations receiving foreign support to register as 'foreign agents' • Unlike similar U.S. legislation, the Russian law applies extremely broadly to civil society actors, including NGOs, media, journalists, and private individuals • The law was initially introduced in response to protests against Vladimir Putin's return to the presidency • Designated 'foreign agents' face significant administrative burdens, including mandatory audits, detailed reporting requirements, and mandatory labeling of publications • The European Court of Human Rights has criticized the law, ruling that it violates fundamental rights and bears 'hallmarks of a totalitarian regime' • The term 'foreign agent' carries strong negative connotations in Russian, historically associated with Cold War-era espionage • The law has been progressively expanded through multiple amendments, increasingly targeting media organizations and individuals • As of 2020, the law requires designated foreign agents to: - Establish a Russian legal entity - Submit detailed activity reports every six months - Label all communications and publications with a 'foreign agent' notice • Non-compliance can result in substantial fines or potential criminal prosecution","Music of Dance Dance Revolution Extreme","Russian foreign agent law","Asteroid mining","Cloud robotics","2","Music of Dance Dance Revolution Extreme","213","Asteroid mining","144","Cloud robotics","153","291"
"73","Synbranchiformes","Here are the key facts about Synbranchiformes: • Synbranchiformes is an order of ray-finned, eel-like fishes found in tropical regions of America, Africa, Asia, and Australia • The order consists of approximately 99 species across 15 genera in three families: Synbranchidae, Chaudhuriidae, and Mastacembelidae • These fish range in size from 8-48 inches (20-150 cm) and are not related to true eels, despite their similar appearance • Most species (except three) live in fresh water, typically inhabiting swamps, caves, and slow-moving waters, with some capable of surviving out of water for extended periods • They have unique physiological adaptations, including: - Poorly developed gills - Ability to breathe through throat or intestinal membranes - No swim bladder - Absence of pelvic fins - Some species can breathe air through specialized pharyngeal pouches • They are primarily nocturnal and feed on benthic invertebrates, larvae, and small fish • Reproduction typically occurs during wet seasons, with females laying about 40 spherical eggs per clutch • In some parts of Asia, certain species are valued as food and cultivated in ponds or rice fields • They have sharp dorsal spines and are generally difficult to handle, which limits their popularity in home aquariums","Vibrio","Synbranchiformes","Darling 58","Eastern Algonquian languages","2","Darling 58","173","Eastern Algonquian languages","200","Vibrio","186","153"
"74","Corn Refiners Association","• The Corn Refiners Association (CRA) is a Washington, D.C.-based trade association representing the U.S. corn refining industry, which produces corn starch, corn oil, and high-fructose corn syrup (HFCS). • In 2008, the CRA launched a controversial public relations campaign defending HFCS, initially claiming it was 'natural' before changing messaging to say it's 'made from corn' and 'okay to eat in moderation.' • The CRA attempted to rebrand high-fructose corn syrup as 'corn sugar' in 2010, but the Food and Drug Administration rejected this name change request in May 2012. • The association actively engages in trade policy, supporting free trade agreements like USMCA and opposing various international trade barriers that affect corn refiners, including disputes with Mexico and the Netherlands. • CRA members include major agricultural and food processing companies such as Archer Daniels Midland, Cargill, Ingredion, Roquette America, and Tate & Lyle Ingredients Americas. • The organization has been involved in biotechnology policy debates, notably opposing 2019 USDA proposed rules that would streamline biotech crop regulations due to concerns about trade and consumer confidence. • As of 2020, John Bode served as the president and CEO of the Corn Refiners Association.","MathWorks Math Modeling Challenge","Ketimine Mannich reaction","Corn Refiners Association","Link farm","3","Ketimine Mannich reaction","170","Link farm","189","MathWorks Math Modeling Challenge","205","461"
"75","Convolvulaceae","Here are the key facts about Convolvulaceae: • Convolvulaceae is a large plant family comprising about 60 genera and over 1,650 species • The family includes diverse plant forms, primarily herbaceous vines, but also trees, shrubs, and herbs • Plants in this family are characterized by funnel-shaped flowers with five fused petals and five epipetalous stamens • The family name 'Convolvulaceae' derives from Latin 'convolvere', meaning 'to wind', referring to their typically winding stems • Notable food plants in this family include sweet potatoes and water spinach • Some species contain ergoline alkaloids, potentially due to symbiotic relationships with specific fungi • The leaves are typically simple and alternate, without stipules • Fruits can be capsules, berries, or nuts, each containing two seeds per locule • The family includes both cultivated garden plants (like morning glories) and troublesome weeds (like bindweed and dodder) • Some species have medicinal uses, including as purgatives and in traditional psychoactive preparations","Guiana dolphin","Coelopa frigida","Convolvulaceae","Mash ingredients","3","Guiana dolphin","135","Mash ingredients","146","Coelopa frigida","186","358"
"76","Ginseng","Here are the key facts about Ginseng: • Ginseng is the root of plants in the genus 'Panax', including Korean, American, and South China ginseng, characterized by compounds called ginsenosides and gintonin • Despite centuries of use in traditional medicine, there is no substantial scientific evidence proving its medical effectiveness, and it is not FDA-approved to treat any medical condition • Ginseng is primarily found in cooler climates, including the Korean Peninsula, Northeast China, Canada, and the United States, with species growing in regions from Russia to Vietnam • Wild ginseng is nearly extinct in China and endangered globally due to over-harvesting, with a single plant taking years to reach maturity • Ginseng can be processed into different forms: fresh (green), white (peeled and sun-dried), and red (steamed and dried), each with distinct characteristics • Global ginseng production in the early 21st century was dominated by four countries: China (44,749 tons), South Korea (27,480 tons), Canada (6,486 tons), and the United States (1,054 tons) • In 2013, global ginseng sales exceeded $2 billion, with South Korea producing half of the world's supply • Ginseng is used in various culinary applications, including Korean side dishes, soups, teas, and alcoholic beverages • The first documented medical text about ginseng was the 'Shen Nong Pharmacopoeia' from 196 AD, which described it as a tonic for patients with chronic illnesses","Senecioneae","Ginseng","Haplogroup R1b","Haplogroup H (mtDNA)","2","Senecioneae","147","Haplogroup H (mtDNA)","230","Haplogroup R1b","115","383"
"77","Spotted skunk","Here are the key facts about Spotted skunks: • There are currently four accepted species of spotted skunks in the genus Spilogale: S. gracilis, S. putorius, S. pygmaea, and S. angustifrons, with recent research suggesting there may be up to seven distinct species • The western spotted skunk (S. gracilis) ranges from southern British Columbia to Central America, including parts of Montana, North Dakota, Wyoming, Colorado, and western Texas • Spotted skunks prefer habitats with dense vegetation, such as thickets, woods, riparian areas, and are highly social, often sharing dens with up to seven other skunks • Reproduction occurs in March, with mating typically happening in late September and early October, and females giving birth to an average litter of 5.5 offspring between April and June • Spotted skunk offspring develop quickly, opening their eyes at 30-32 days, starting solid food at 42 days, being weaned at two months, and reaching full adult size by four months • Their primary defense mechanism is spraying a strong-smelling liquid from anal glands, with the ability to accurately spray targets up to 15 feet away and quickly discharge five sprays in succession • Before spraying, they provide warning signals like stamping feet, raising their tail, hissing, and sometimes performing a unique 'hand stand' posture • The chemical composition of their defensive spray differs from striped skunks, containing three major thiols: (E)-2-butene-1-thiol, 3-methyl-1-butanethiol, and 2-phenylethanethiol","List of giant squid specimens and sightings (2001–2014)","Dihydroneopterin aldolase","CDKL5 deficiency disorder","Spotted skunk","4","Dihydroneopterin aldolase","198","CDKL5 deficiency disorder","142","List of giant squid specimens and sightings (2001–2014)","134","264"
"78","J-pole antenna","• The J-pole antenna was invented by Hans Beggerow in 1909 for use in Zeppelin airships and got its name from its 'J' shape when mounted vertically by 1943. • It is an end-fed omnidirectional half-wave antenna that uses a shorted quarter-wave parallel transmission line stub to match the antenna impedance to the feedline. • The antenna consists of two parallel metal conductors - one 3/4 wavelength long and another 1/4 wavelength long - shorted together at the bottom, with parallel conductors spaced no more than 0.02 wavelength apart. • It provides a small gain of just under 1 dB over a quarter-wave ground-plane antenna, with free-space gain averaging around 2.2 dBi in most directions. • The feedpoint location along the quarter-wave stub can be adjusted to match different feedline impedances, with the proper connection point found by sliding the feedline connection and monitoring SWR. • The antenna exhibits an omnidirectional radiation pattern in the horizontal plane, though the quarter-wave stub slightly increases gain on one side and reduces it on the opposite side. • It is very sensitive to conductive objects and support structures, requiring separation of 2-3 times the conductor spacing from metal objects and performing best with no electrical bonding to mounting structures. • The parallel conductors must be kept free of moisture, snow, and ice, and the antenna works best when fed with balanced line or coax with RF current suppression.","J-pole antenna","Balearic Catalan","TI-36","Neuromorphic computing","1","Balearic Catalan","164","TI-36","125","Neuromorphic computing","138","416"
"79","Silibinin","• Silibinin is the major active constituent of silymarin, a standardized extract from milk thistle, and consists of two diastereomers (silybin A and silybin B) in roughly equal amounts. • It is approved as a medication in EU countries for treating toxic liver damage, including death cap mushroom poisoning, and received orphan drug designation for preventing hepatitis C recurrence in liver transplant patients. • A water-soluble form (silibinin-C-2',3-dihydrogensuccinate disodium salt) is used for intravenous treatment of Amanita mushroom poisoning and other severe liver conditions. • Scientific evidence shows mixed results for liver disease treatment - it may help prevent liver-related mortality in cirrhosis patients but has little proven antiviral effect against hepatitis C. • Silibinin is being investigated for cancer treatment due to its ability to inhibit STAT3 signaling and has potential skin protective effects including UV protection and DNA repair. • The compound has poor natural bioavailability, leading to development of enhanced formulations like Siliphos (with phosphatidylcholine) that is 10 times more bioavailable than standard silymarin. • High doses (13 grams daily) are generally well-tolerated in humans, with mild liver enzyme elevation being the most common side effect in clinical trials. • Silibinin can interact with medications by inhibiting P-glycoprotein transporters and cytochrome P450 enzymes, potentially affecting drug absorption and metabolism.","Clonixin","DEA list of chemicals","Silibinin","Chloral hydrate","3","Chloral hydrate","192","Clonixin","243","DEA list of chemicals","156","79"
"80","Opportunistic infection","Here are the key facts about Opportunistic Infections: • Opportunistic infections are serious infections caused by pathogens that typically cause mild or no symptoms in people with healthy immune systems • These infections occur when the immune system is compromised, such as during HIV/AIDS, cancer treatment, or after significant microbiome disruption • Many opportunistic pathogens can already be present in the body as harmless microbes, becoming dangerous only when the immune system is weakened • HIV/AIDS is particularly associated with opportunistic infections, as the virus progressively destroys T cells and reduces immune function • Opportunistic infections can affect multiple body systems, including respiratory, central nervous system, and can lead to serious conditions like tuberculosis and meningitis • Prevention strategies include restoring immune system function, avoiding infectious exposures, and using prophylactic medications • Risk of developing an opportunistic infection is often assessed by measuring a person's CD4 T-cell count • These infections are a leading cause of death in HIV/AIDS patients due to their inability to mount an effective immune response • Treatment typically involves targeted antibiotics and depends on the specific type of infection and pathogen involved","Pleistocene human diet","Chlamydia pneumoniae","Rabies in animals","Opportunistic infection","4","Pleistocene human diet","229","Rabies in animals","110","Chlamydia pneumoniae","108","45"
"81","Operation Freedom's Sentinel","Here are the key facts about Operation Freedom's Sentinel: • Operation Freedom's Sentinel (OFS) began on January 1, 2015, succeeding Operation Enduring Freedom as part of the Global War on Terrorism • The mission had two primary components: counterterrorism operations and supporting Afghan security forces through the NATO-led Resolute Support Mission • Troop levels varied significantly over time, starting at 9,800 U.S. troops in 2015, peaking around 14,000 in 2019, and dropping to 2,500 by January 2021 • The mission's objectives included attacking Al-Qaeda remnants and building the Afghan National Security Forces (ANDSF) to secure the country and contribute to regional stability • By February 2021, there were 9,592 total NATO and non-NATO troops in Afghanistan • The Afghan National Security Forces, which numbered over 300,000 personnel in 2020, largely collapsed during the Taliban's August 2021 offensive • Operation Freedom's Sentinel was expected to end on August 31, 2021, but was effectively completed on August 30 when the last troops withdrew • The operation was officially terminated by the Department of Defense on October 1, 2021, and replaced by Operation Enduring Sentinel • Throughout the mission, challenges included managing increased violence, pursuing peace negotiations, and addressing security concerns in Afghanistan","Afghanistan–India relations","Palauan language","Philippine Constabulary","Operation Freedom's Sentinel","4","Palauan language","105","Philippine Constabulary","240","Afghanistan–India relations","203","678"
"82","Ubiquitin ligase","Here are the key facts about Ubiquitin ligase: • Ubiquitin ligases (E3) are proteins that facilitate the transfer of ubiquitin from an E2 enzyme to a specific protein substrate, enabling precise protein modification • The human genome encodes over 600 putative E3 ligases, allowing for tremendous diversity in substrate targeting and cellular regulation • E3 ligases are classified into four main families: HECT, RING-finger, U-box, and PHD-finger, with RING-finger being the largest family • Ubiquitin modification can occur through monoubiquitylation (single molecule) or polyubiquitylation (multiple ubiquitin molecules), each serving different cellular functions • Polyubiquitin chains linked through different lysine residues (K48, K63, etc.) can signal various cellular processes, such as protein degradation or changes in protein interactions • E3 ligases play critical roles in diverse cellular processes, including cell cycle control, DNA repair, protein trafficking, and signaling • The ubiquitination process involves three key enzymes: E1 (activating), E2 (conjugating), and E3 (ligase), with the E3 providing substrate specificity • Substrate recognition typically occurs through specific amino acid sequences called degrons, allowing E3 ligases to distinguish target proteins with high precision","Ubiquitin ligase","Okapi BM25","Alginic acid","Crystallin","1","Alginic acid","224","Crystallin","179","Okapi BM25","111","309"
"83","Germanic a-mutation","• A-mutation was a sound change process that occurred in late Proto-Germanic around 200 CE, where short high vowels (i or u) were lowered when followed by a syllable containing non-high vowels (a, e, or o). • The process was blocked by intervening consonants, particularly if a consonant appeared between the high vowel and the triggering non-high vowel, or if a nasal consonant followed by another consonant intervened. • A-mutation shows significant dialectal variation across Germanic languages - it's most evident in Old High German, less common in other West Germanic languages and Old Norse, and completely absent in Gothic. • The mutation of u > o is much more common than i > e, with i > e being limited to just three words in Old English ('nest,' 'bacon,' 'man') according to Campbell. • All instances of the phoneme /o/ in later Germanic languages arose from a-mutation of /u/, since Proto-Indo-European /o/ had already become Proto-Germanic /a/. • The effects are most noticeable in strong verbs of classes 2, 3, and 4, where 'o' in past participles alternates with 'u' in preterite plural forms (e.g., Old English 'flown' vs. 'they flew'). • A-mutation preceded the raising of unstressed final /a/ to /ə/ in dialects that became Old English and Old Norse, leading to many exceptions and inconsistencies due to paradigmatic leveling. • Some scholars question the traditional Proto-Germanic a-mutation model, with alternative theories suggesting these changes occurred in the prehistory of individual languages rather than in Proto-Germanic itself.","Germanic a-mutation","Mnemonics in trigonometry","Fines herbes","Long-term memory","1","Fines herbes","160","Long-term memory","140","Mnemonics in trigonometry","105","495"
"84","Saliva testing","Here are the key facts about Saliva testing: • Saliva testing (Salivaomics) is a diagnostic technique that analyzes saliva to identify markers of various medical conditions, including endocrine, immunologic, inflammatory, and infectious diseases • The technique can detect multiple substances, including steroid hormones, genetic material (RNA), proteins, enzymes, antibodies, and metabolites • Advantages of saliva testing include ease of collection, non-invasiveness, affordability, and the ability to collect multiple samples over time for comprehensive analysis • Common testing methods include enzyme-linked immunosorbent assay (ELISA), polymerase chain reaction (PCR), and high-resolution mass spectrometry • Saliva testing can screen for numerous conditions, such as Cushing's disease, HIV, cancer, hormonal disorders, allergies, and metabolic disturbances • Humans have three major salivary glands (parotid, submandibular, and sublingual) that secrete a complex mixture of biological chemicals and molecules • The technique has been used by organizations like the U.S. government to assess astronauts' circadian rhythms and soldiers' hormonal profiles • Saliva testing has applications in psychological research, helping to investigate conditions like anxiety, depression, and PTSD by measuring substances like cortisol • Historical use of saliva testing dates back to at least 1685, with early experiments involving mercury and acidity testing","Kell antigen system","ABCC11","Immunologic adjuvant","Saliva testing","4","Immunologic adjuvant","144","ABCC11","225","Kell antigen system","111","158"
"85","Exudate","Here are the key facts about Exudate: • An exudate is a fluid released by an organism through pores or wounds, derived from the Latin word meaning 'to sweat out' • In medicine, exudate is a fluid that filters from the circulatory system into areas of inflammation or lesions, composed of serum, fibrin, and leukocytes • There are five types of medical exudates: serous, serosanguineous, sanguineous, hemorrhaging, and purulent drainage • Exudates differ from transudates by having higher protein content and being caused by inflammation, not pressure disturbances • Specific gravity is used to medically distinguish between exudates and transudates, with exudates having higher protein levels • In plants, exudates include saps, gums, latex, resin, and sometimes nectar • Plant root exudates can include acids, sugars, polysaccharides, and ectoenzymes, which account for 40% of root carbon • Plant exudates play important roles in supporting plant health and interactions with microorganisms in the rhizosphere","Sexual desire and intimate relationships","Cultural sensitivity","Exudate","LOBPCG","3","Sexual desire and intimate relationships","226","Cultural sensitivity","132","LOBPCG","244","703"
"86","List of geckos of New Zealand","Here are the key facts about geckos in New Zealand: • As of 2021, there are 48 described gecko species across 7 genera in New Zealand, all of which are native and endemic to the country • All New Zealand geckos belong to the Diplodactylidae family, which is also found in Australia and New Caledonia • New Zealand geckos are unique for being viviparous (giving birth to live young), typically in twins, which is extremely rare among gecko species worldwide • Geckos in New Zealand are omnivorous, primarily eating insects like flies, arachnids, and crickets, but also consuming nectar, blossoms, and fruits depending on seasonal availability • The exact number of gecko species is still uncertain, with new species and subspecies continually being discovered and taxonomically described • Many gecko species are geographically specific, with unique variants found in locations like alpine regions, islands, and specific ecological zones • New Zealand geckos are vulnerable to wildlife smuggling, making them a target in the international reptile pet trade • The gecko species range includes various green geckos, striped geckos, and geckos with distinctive regional characteristics like the gold-striped gecko and harlequin gecko","Quigley scale","Precautionary principle","RocksDB","List of geckos of New Zealand","4","Precautionary principle","111","Quigley scale","115","RocksDB","109","874"
