hit_id,base_topic,topic_a,topic_a_rank,topic_b,topic_b_rank,bucket_pair,closer_shown_as
91,William Shakespeare,William Shakespeare's Star Wars,9,Gilbert schema for Ulysses,575,1-10_vs_500-1000,A
92,Monarchy,Royal Household of Spain,279,List of heirs to the Scottish throne,80,50-100_vs_250-500,B
93,Calculus,Document retrieval,25,Differential (mathematics),179,10-50_vs_100-250,A
94,Speed of light,Proper velocity,22,Tests of special relativity,73,10-50_vs_50-100,A
95,Plate tectonics,Geological history of Earth,334,Seymouria,945,250-500_vs_500-1000,A
96,Acid,Molecular mass,63,Superacid,8,1-10_vs_50-100,B
97,World War II,German fortification of Guernsey,18,End of World War II in Europe,62,10-50_vs_50-100,A
98,Grand Canyon,Shiva Temple (Grand Canyon),95,Dakota Formation,225,50-100_vs_100-250,A
99,Hydrogen,Isopentane,822,Gas generator,107,100-250_vs_500-1000,B
100,Electricity,Energy storage,253,Electric potential,69,50-100_vs_250-500,B
101,Grand Canyon,Lakes of Grand Teton National Park,138,List of missiles by country,482,100-250_vs_250-500,A
102,Speed of light,Picosecond,20,Light field,121,10-50_vs_100-250,A
103,Antarctica,2024 Otago floods,615,Antarcticavis,89,50-100_vs_500-1000,B
104,Steam engine,Mechanical stoker,53,Hydrolock,577,50-100_vs_500-1000,A
105,Martin Luther King Jr.,A. D. King,29,Whitney Young,442,10-50_vs_250-500,A
106,Prime number,Highly composite number,49,Lagrange's theorem (group theory),185,10-50_vs_100-250,A
107,Great Barrier Reef,Flinders Ranges,733,List of retired Australian region cyclone names,162,100-250_vs_500-1000,B
108,Acid,Ester,146,Sulfur,399,100-250_vs_250-500,A
109,Mediterranean Sea,Etesian,93,Australasian Mediterranean Sea,1,1-10_vs_50-100,B
110,Calculus,Differentiation rules,4,Approximation theory,95,1-10_vs_50-100,A
111,Great Barrier Reef,Batt Reef,49,List of crabs of New Zealand,118,10-50_vs_100-250,A
112,Periodic table,List of chemical elements,2,Platinum group,163,1-10_vs_100-250,A
113,Climate change,2010 Northern Hemisphere heat waves,318,Volcanic explosivity index,920,250-500_vs_500-1000,A
114,Capitalism,The Limits to Growth,769,Post-Fordism,275,250-500_vs_500-1000,B
115,Fraction,File format,458,BLAKE (hash function),202,100-250_vs_250-500,B
116,Infinity,"Special Herbs, Vol. 4",394,Resource Description Framework,47,10-50_vs_250-500,B
117,World War II,Timeline of the Battle of the Atlantic,7,Rescue of Jews by Poles during the Holocaust,787,1-10_vs_500-1000,A
118,Mount Everest,2008 K2 disaster,39,Eight-thousander,78,10-50_vs_50-100,A
119,Leonardo da Vinci,Codex Leicester,5,Speculations about Mona Lisa,25,1-10_vs_10-50,A
120,Pythagorean theorem,Geometric Origami,445,P-adic valuation,105,100-250_vs_250-500,B
121,Industrial Revolution,List of industrial music labels,78,Industrial Revolution in the United States,6,1-10_vs_50-100,B
122,Glacier,Glacial lake,6,List of geological features on Europa,311,1-10_vs_250-500,A
123,Galileo Galilei,Astronomical radio source,536,Surface gravity,79,50-100_vs_500-1000,B
124,Sahara Desert,List of islands in the Indian Ocean,100,Western Sahara,7,1-10_vs_100-250,B
125,Napoleon,Battle of La Rothière,94,Charles Maurice de Talleyrand-Périgord,804,50-100_vs_500-1000,A
126,Solar system,Astrology and the classical elements,971,Comet,148,100-250_vs_500-1000,B
127,Gravity,Pele (volcano),355,Densities of the elements (data page),184,100-250_vs_250-500,B
128,Grand Canyon,Grand Canyon of the Yellowstone,2,Canyon de Chelly National Monument,53,1-10_vs_50-100,A
129,Industrial Revolution,Renaissance technology,31,Matthew Boulton,89,10-50_vs_50-100,A
130,World War II,German invasion of Hungary (1944),17,List of German military equipment of World War II,1,1-10_vs_10-50,B
131,Albert Einstein,Gallup's List of Most Widely Admired People of the 20th Century,243,List of Nobel laureates by country,43,10-50_vs_100-250,B
132,Galileo Galilei,Isotopes of nobelium,695,SS Galileo Galilei,2,1-10_vs_500-1000,B
133,Atom,Atomic number,3,Nuclide,39,1-10_vs_10-50,A
134,Periodic table,Chlorine,87,History of the periodic table,1,1-10_vs_50-100,B
135,Algebra,Lists of mathematics topics,8,Clone (algebra),135,1-10_vs_100-250,A
136,Albert Einstein,Dominic system,205,Four-gradient,527,100-250_vs_500-1000,A
137,Television,2023–24 United States network television schedule (overnight),117,Television in the United States,3,1-10_vs_100-250,B
138,Communism,Communist Organization of Greece,268,History of communism,2,1-10_vs_250-500,B
139,Volcano,Dense-rock equivalent,52,Vaghela dynasty,26,10-50_vs_50-100,B
140,Algebra,Mizar system,373,Homological algebra,676,250-500_vs_500-1000,A
141,Nuclear energy,Hafnium controversy,57,List of power stations in Nevada,434,50-100_vs_250-500,A
142,Himalayas,Dhauladhar,98,Shikhara,375,50-100_vs_250-500,A
143,Climate change,Climate migration,29,Climate change feedbacks,2,1-10_vs_10-50,B
144,Prime number,3,375,Cantor's paradox,943,250-500_vs_500-1000,A
145,Telescope,List of years in science,3,Stephan's Quintet,779,1-10_vs_500-1000,A
146,Great Barrier Reef,Climate change in Antarctica,967,Pacific oyster,430,250-500_vs_500-1000,B
147,Calculus,List of academic databases and search engines,1,SKI combinator calculus,17,1-10_vs_10-50,A
148,World War II,SS blood group tattoo,428,Western Allied campaign in Romania,68,50-100_vs_250-500,B
149,Salt,Fluoronium,558,Hypertext Application Language,77,50-100_vs_500-1000,B
150,Ancient Egypt,Djoser,982,Population history of Egypt,35,10-50_vs_500-1000,B
151,Continent,Vehicle registration plates of Bosnia and Herzegovina,498,Medical Subject Headings,579,250-500_vs_500-1000,A
152,Alexander the Great,Stefan the First-Crowned,794,Alexander II of Scotland,29,10-50_vs_500-1000,B
153,Iron,Material,537,Tris(acetylacetonato)iron(III),81,50-100_vs_500-1000,B
154,Leonardo da Vinci,List of people with synesthesia,227,Valknut,820,100-250_vs_500-1000,A
155,Mahatma Gandhi,Death and state funeral of Vladimir Lenin,54,"Mahatma Gandhi Memorial (Washington, D.C.)",6,1-10_vs_50-100,B
156,Solar system,Hyperion (moon),492,CNEOS 2014-01-08,47,10-50_vs_250-500,B
157,Iron,Limonite,45,Chromium,50,10-50_vs_50-100,A
158,Communism,La Lutte (newspaper),248,Communist society,4,1-10_vs_100-250,B
159,Light,Solar irradiance,910,Light in painting,7,1-10_vs_500-1000,B
160,Himalayas,Karakoram Pass,27,Three Pinnacles,233,10-50_vs_100-250,A
161,Computer,Comparison of reference management software,4,File format,433,1-10_vs_250-500,A
162,Solar system,List of nearest terrestrial exoplanet candidates,41,Moons of Uranus,202,10-50_vs_100-250,A
163,Iron,List of company towns,378,Beryllium,169,100-250_vs_250-500,B
164,Steam engine,Midland Railway Class 2 4-4-0,48,SS Britannic (1874),912,10-50_vs_500-1000,A
165,Ecosystem,List of years in science,77,Species richness,30,10-50_vs_50-100,B
166,Photosynthesis,Heliotropism,496,Arabidopsis,158,100-250_vs_250-500,B
167,Cell,Information retrieval,9,Numeric character reference,99,1-10_vs_50-100,A
168,American Civil War,Peninsula campaign,202,Timeline of events leading to the American Civil War,4,1-10_vs_100-250,B
169,Continent,Asia,12,Pre-Columbian transoceanic contact theories,886,10-50_vs_500-1000,A
170,Virus,Pasteurella multocida,928,Polio,326,250-500_vs_500-1000,B
171,Amazon rainforest,Terra preta,15,Shanay-timpishka,285,10-50_vs_250-500,A
172,Gold,List of years in science,9,Noble metal,44,1-10_vs_10-50,A
173,William Shakespeare,Shrew (stock character),391,Shakespearean fool,80,50-100_vs_250-500,B
174,American Civil War,Charles Floyd (explorer),435,Confederate war finance,67,50-100_vs_250-500,B
175,Moon landing,Apollo 4,27,Landing operation,212,10-50_vs_100-250,A
176,Steam engine,Steam-powered vessel,5,British Rail Class 28,379,1-10_vs_250-500,A
177,Isaac Newton,De Thiende,171,Mathematical manuscripts of Karl Marx,71,50-100_vs_100-250,B
178,Fraction,One half,25,Wikidata,169,10-50_vs_100-250,A
179,Capitalism,Criticism of capitalism,9,AI aftermath scenarios,430,1-10_vs_250-500,A
180,Acid,Standard atomic weight,163,Superacid,8,1-10_vs_100-250,B
181,Gold,2021 CONCACAF Gold Cup squads,856,Bag-of-words model,16,10-50_vs_500-1000,B
182,Computer,Evaluation measures (information retrieval),24,Index of language articles,374,10-50_vs_250-500,A
183,World War II,Axis powers negotiations on the division of Asia,488,Rüsselsheim massacre,5,1-10_vs_250-500,B
184,Plate tectonics,S wave,656,Rodinia,77,50-100_vs_500-1000,B
185,Fraction,Thales's theorem,950,Particular values of the gamma function,212,100-250_vs_500-1000,B
186,Immune system,Cannabinol,452,Proteostasis,937,250-500_vs_500-1000,A
187,Mediterranean Sea,Posidonia oceanica,169,Dardanelles,83,50-100_vs_100-250,B
188,Moon landing,List of astronauts by year of selection,396,List of accidents and incidents involving military aircraft (1980–1989),696,250-500_vs_500-1000,A
189,Constitution of the United States,1788–89 United States presidential election,114,Slavery and the United States Constitution,4,1-10_vs_100-250,B
190,Mediterranean Sea,Ligurian Sea,9,Biodiversity of Israel and Palestine,224,1-10_vs_100-250,A
191,Supreme Court of the United States,United States free speech exceptions,228,List of justices of the Supreme Court of the United States by seat,8,1-10_vs_100-250,B
192,Hydrogen,Glycerol (data page),387,Table of specific heat capacities,97,50-100_vs_250-500,B
193,Computer,List of video games based on tabletop games,882,HTML form,48,10-50_vs_500-1000,B
194,Salt,Sodium chloride,19,Saltriovenator,106,10-50_vs_100-250,A
195,Ancient Egypt,Elamite language,442,List of Egyptian mummies (royalty),27,10-50_vs_250-500,B
196,Pi,Preferred IUPAC name,279,Johor Bahru–Singapore Rapid Transit System,5,1-10_vs_250-500,B
197,Telescope,Timeline of discovery of Solar System planets and their moons,8,Controversy over the discovery of Haumea,240,1-10_vs_100-250,A
198,Mineral,Nephrite,21,Cuprite,232,10-50_vs_100-250,A
199,French Revolution,German revolutions of 1848–1849,75,Tennis Court Oath,30,10-50_vs_50-100,B
200,Carbon dioxide,Allotropes of oxygen,84,Davenport diagram,43,10-50_vs_50-100,B
201,French Revolution,Russian Peasants' uprising of 1905–1906,621,July Revolution,3,1-10_vs_500-1000,B
202,Gravity,General relativity,43,Weight,9,1-10_vs_10-50,B
203,Iron,Dividing line between metals and nonmetals,642,Chromite,6,1-10_vs_500-1000,B
204,Virus,CrAssphage,42,Linux malware,5,1-10_vs_10-50,B
205,Ancient Egypt,Military of ancient Egypt,8,Vaghela dynasty,43,1-10_vs_10-50,A
206,Electricity,Harvesting lightning energy,7,Electric Reliability Council of Texas,512,1-10_vs_500-1000,A
207,Solar system,Halo orbit,905,Asteroid Redirect Mission,419,250-500_vs_500-1000,B
208,Isaac Newton,Isaac Barrow,8,John Dalton,173,1-10_vs_100-250,A
209,Calculus,Document,38,Invariant (mathematics),229,10-50_vs_100-250,A
210,Renaissance,List of nobles and magnates of England in the 13th century,123,Igor of Kiev,370,100-250_vs_250-500,A
211,Chemical reaction,Alkaline earth metal,261,Glossary of chemistry terms,67,50-100_vs_250-500,B
212,Mount Everest,High-altitude adaptation in humans,61,Description of the Medieval Warm Period and Little Ice Age in IPCC reports,224,50-100_vs_100-250,A
213,Black hole,List of unsolved problems in mathematics,977,UFO sightings in Africa,227,100-250_vs_500-1000,B
214,Plate tectonics,Paleomap,4,Geology of Indonesia,50,1-10_vs_50-100,A
215,Statistics,Ranking (statistics),25,Glossary of geography terms (N–Z),131,10-50_vs_100-250,A
216,Napoleon,Napoleonic weaponry and warfare,2,Louis Bonaparte,65,1-10_vs_50-100,A
217,Ancient Egypt,Genetic history of Egypt,78,Okapi BM25,965,50-100_vs_500-1000,A
218,Cell,European Sky Shield Initiative,4,Volume,344,1-10_vs_250-500,A
219,United Nations,Glossary of geography terms (N–Z),607,List of academic databases and search engines,6,1-10_vs_500-1000,B
220,DNA,Taxonomic database,61,First universal common ancestor,299,50-100_vs_250-500,A
221,Industrial Revolution,List of Welsh inventions and discoveries,74,History of cartography,186,50-100_vs_100-250,A
222,Continent,Extreme points of the European Union,252,List of orogenies,9,1-10_vs_250-500,B
223,Communism,Czechoslovak Socialist Republic,55,History of communism,2,1-10_vs_50-100,B
224,Mediterranean Sea,Northern coast of Egypt,87,Kyrenia (ship),168,50-100_vs_100-250,A
225,Algebra,Elementary algebra,5,Category (mathematics),31,1-10_vs_10-50,A
226,Ecosystem,Vegetation,24,Timeline of natural history,832,10-50_vs_500-1000,A
227,Ancient Rome,Roman commerce,636,Triumvirate (ancient Rome),152,100-250_vs_500-1000,B
228,Cold War,Outline of the Vietnam War,46,Glassboro Summit Conference,347,10-50_vs_250-500,A
229,Cold War,List of years in politics,63,Petlyakov Pe-8,820,50-100_vs_500-1000,A
230,World War II,Rape during the occupation of Japan,204,German World War II destroyers,547,100-250_vs_500-1000,A
231,Water,Cue-dependent forgetting,86,Hydrothermal vent,322,50-100_vs_250-500,A
232,Gold,E-gold,218,Gold teeth,98,50-100_vs_100-250,B
233,Pacific Ocean,Tuvalu,656,List of named storms (U),6,1-10_vs_500-1000,B
234,Ancient Egypt,Amduat,89,List of ancient Egyptian scribes,21,10-50_vs_50-100,B
235,Democracy,Polyarchy,26,2022 Tunisian constitutional referendum,927,10-50_vs_500-1000,A
236,Mount Everest,Document retrieval,129,2024 in piracy,895,100-250_vs_500-1000,A
237,Galileo Galilei,Surface gravity,79,Tychonic system,319,50-100_vs_250-500,A
238,Mount Everest,List of tectonic plates,596,Southern Patagonian Ice Field,472,250-500_vs_500-1000,B
239,Immune system,Vibrionaceae,679,Immunity (medicine),5,1-10_vs_500-1000,B
240,Mahatma Gandhi,List of monarchs of Java,216,Mauritians of Indian origin,545,100-250_vs_500-1000,A
241,Oxygen,Mole (unit),63,Information retrieval,7,1-10_vs_50-100,B
242,Renaissance,Complete works,161,A Linguistic Atlas of Early Middle English,85,50-100_vs_100-250,B
243,Nile,Bahr el Ghazal River,80,Dahshur boats,42,10-50_vs_50-100,B
244,Cold War,Civil defence centres in London,83,Częstochowa massacre,402,50-100_vs_250-500,A
245,Gold,Chrysopoeia,171,List of flags by color combination,55,50-100_vs_100-250,B
246,Telephone,Dial-A-Mattress Franchise Corp. v. Anthony Page,61,Mobile telephony,26,10-50_vs_50-100,B
247,Acid,Acid strength,1,Fermentation,250,1-10_vs_250-500,A
248,Water,Antarctic bottom water,434,Area density,573,250-500_vs_500-1000,A
249,Isaac Newton,Stephen Gray (scientist),801,Schiehallion experiment,90,50-100_vs_500-1000,B
